"queue_name","canonical_id","correlation_id","idempotency_key","batch_id","source_table","operation","gate_id","stop_condition","risk_level","priority","ai_assisted","ai_validation_status","status"
"SDU.Connection.Seed.Queue","conn_canon_000003","corr_35aad44ad5d40b785e0737ae","idem_af0c0b34040c6dfea4ec8d59ade333ed","20260603_workqueue_pilot_dev_v1","mon_sdu_connection_instance","validate_seeded_connection_metadata","GATE_OPENAI_LIVE_GOVERNED_ORDER","openai_api_live_requested_without_order","high","high","True","AI_ASSISTED_NOT_CANON_UNTIL_VALIDATED","READY_FOR_DEV_QUEUE_CREATE"
"SDU.Connection.Seed.Queue","conn_canon_000004","corr_0632b186721530f9245fdb98","idem_42a5bf69182a470fcee2f1fc5704cea4","20260603_workqueue_pilot_dev_v1","mon_sdu_connection_instance","validate_seeded_connection_metadata","GATE_POWER_PLATFORM_DEV_TARGET_EXPLICIT","dataverse_apply_without_explicit_sandbox_or_default_as_dev","high","high","True","AI_ASSISTED_NOT_CANON_UNTIL_VALIDATED","READY_FOR_DEV_QUEUE_CREATE"
"SDU.Connection.Seed.Queue","conn_canon_000005","corr_a3c53cd1d12c793b62b3683b","idem_cd9f3cb047ffda5003ed68be07d0784f","20260603_workqueue_pilot_dev_v1","mon_sdu_connection_instance","validate_seeded_connection_metadata","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","microsoft_live_requested_without_governed_order","high","high","True","AI_ASSISTED_NOT_CANON_UNTIL_VALIDATED","READY_FOR_DEV_QUEUE_CREATE"
"SDU.Connection.Seed.Queue","conn_canon_000006","corr_793bc9e5b36b7ce8419b7a56","idem_404a2988478ad169eb5b5997201606a2","20260603_workqueue_pilot_dev_v1","mon_sdu_connection_instance","validate_seeded_connection_metadata","GATE_OPENAI_LIVE_GOVERNED_ORDER","openai_api_live_requested_without_order","high","high","True","AI_ASSISTED_NOT_CANON_UNTIL_VALIDATED","READY_FOR_DEV_QUEUE_CREATE"
"SDU.Connection.Seed.Queue","conn_canon_000007","corr_db566a655effeafe3eaf4fd8","idem_80b1c2e7216d2c4fb7173ea519d7c5c6","20260603_workqueue_pilot_dev_v1","mon_sdu_connection_instance","validate_seeded_connection_metadata","GATE_POWER_PLATFORM_DEV_TARGET_EXPLICIT","dataverse_apply_without_explicit_sandbox_or_default_as_dev","high","high","True","AI_ASSISTED_NOT_CANON_UNTIL_VALIDATED","READY_FOR_DEV_QUEUE_CREATE"
"SDU.Connection.Seed.Queue","conn_canon_000008","corr_9ece3e40ae363b657b23d218","idem_920aece5fce7682a1453694c0aa77a9a","20260603_workqueue_pilot_dev_v1","mon_sdu_connection_instance","validate_seeded_connection_metadata","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","microsoft_live_requested_without_governed_order","high","high","True","AI_ASSISTED_NOT_CANON_UNTIL_VALIDATED","READY_FOR_DEV_QUEUE_CREATE"
"SDU.Connection.Seed.Queue","conn_canon_000009","corr_ca288347ebeb8f8a759d3bcc","idem_6c132b677dc124f2a81a18d9b2baf8d0","20260603_workqueue_pilot_dev_v1","mon_sdu_connection_instance","validate_seeded_connection_metadata","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","microsoft_live_requested_without_governed_order","high","high","True","AI_ASSISTED_NOT_CANON_UNTIL_VALIDATED","READY_FOR_DEV_QUEUE_CREATE"
"SDU.Connection.Seed.Queue","conn_canon_000010","corr_54b00c98fd56157fd8d121ac","idem_a40fce09a554a51ca4ee813c7f52f404","20260603_workqueue_pilot_dev_v1","mon_sdu_connection_instance","validate_seeded_connection_metadata","GATE_OPENAI_LIVE_GOVERNED_ORDER","openai_api_live_requested_without_order","high","high","True","AI_ASSISTED_NOT_CANON_UNTIL_VALIDATED","READY_FOR_DEV_QUEUE_CREATE"
"SDU.Connection.Seed.Queue","conn_canon_000011","corr_bb0311c71bdee67cb7df8c9f","idem_19f51c16b56978023bde6db6ce7f3c4f","20260603_workqueue_pilot_dev_v1","mon_sdu_connection_instance","validate_seeded_connection_metadata","GATE_POWER_PLATFORM_DEV_TARGET_EXPLICIT","dataverse_apply_without_explicit_sandbox_or_default_as_dev","high","high","True","AI_ASSISTED_NOT_CANON_UNTIL_VALIDATED","READY_FOR_DEV_QUEUE_CREATE"
"SDU.Connection.Seed.Queue","conn_canon_000012","corr_6ad08c4cd014e62028014aa7","idem_df79786bd90a8bfb0253d58805c1ca10","20260603_workqueue_pilot_dev_v1","mon_sdu_connection_instance","validate_seeded_connection_metadata","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","microsoft_live_requested_without_governed_order","high","high","True","AI_ASSISTED_NOT_CANON_UNTIL_VALIDATED","READY_FOR_DEV_QUEUE_CREATE"
