"queue_name","canonical_id","queue_item_id","found","statecode","statuscode","uniqueidbyqueue","status"
"SDU.Connection.Seed.Queue","conn_canon_000003","92092832-405f-f111-a826-00224805f9dd","true","0","0","idem_af0c0b34040c6dfea4ec8d59ade333ed","PASS"
"SDU.Connection.Seed.Queue","conn_canon_000004","ce2bac32-405f-f111-a826-00224805fc91","true","0","0","idem_42a5bf69182a470fcee2f1fc5704cea4","PASS"
"SDU.Connection.Seed.Queue","conn_canon_000005","27ac0439-405f-f111-a826-00224805f8f9","true","0","0","idem_cd9f3cb047ffda5003ed68be07d0784f","PASS"
"SDU.Connection.Seed.Queue","conn_canon_000006","2aac0439-405f-f111-a826-00224805f8f9","true","0","0","idem_404a2988478ad169eb5b5997201606a2","PASS"
"SDU.Connection.Seed.Queue","conn_canon_000007","441ba738-405f-f111-a826-00224805fc91","true","0","0","idem_80b1c2e7216d2c4fb7173ea519d7c5c6","PASS"
"SDU.Connection.Seed.Queue","conn_canon_000008","2dac0439-405f-f111-a826-00224805f8f9","true","0","0","idem_920aece5fce7682a1453694c0aa77a9a","PASS"
"SDU.Connection.Seed.Queue","conn_canon_000009","9be32d3f-405f-f111-a826-00224805f9dd","true","0","0","idem_6c132b677dc124f2a81a18d9b2baf8d0","PASS"
"SDU.Connection.Seed.Queue","conn_canon_000010","7d9db73e-405f-f111-a826-00224805fc91","true","0","0","idem_a40fce09a554a51ca4ee813c7f52f404","PASS"
"SDU.Connection.Seed.Queue","conn_canon_000011","8a9db73e-405f-f111-a826-00224805fc91","true","0","0","idem_19f51c16b56978023bde6db6ce7f3c4f","PASS"
"SDU.Connection.Seed.Queue","conn_canon_000012","9d9db73e-405f-f111-a826-00224805fc91","true","0","0","idem_df79786bd90a8bfb0253d58805c1ca10","PASS"
"SDU.Gate.Review.Queue","GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED","0361a040-405f-f111-a826-00224805fcc4","true","0","0","idem_244a9454f98af751ccb845171b1cb40f","PASS"
"SDU.Gate.Review.Queue","GATE_CONNECTOR_REGISTRY_NO_SECRET","2ffcfc44-405f-f111-a826-00224805f8f9","true","0","0","idem_5c5df7792d88031fd898738c9123e622","PASS"
"SDU.Gate.Review.Queue","GATE_GITHUB_REPO_SCOPED","62fcfc44-405f-f111-a826-00224805f8f9","true","0","0","idem_ed2124b4e7b11db0a22c940cdb78d098","PASS"
"SDU.Gate.Review.Queue","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","65fcfc44-405f-f111-a826-00224805f8f9","true","0","0","idem_053cb4ad4e3e99777e71db9e81022802","PASS"
"SDU.Gate.Review.Queue","GATE_OPENAI_LIVE_GOVERNED_ORDER","68fcfc44-405f-f111-a826-00224805f8f9","true","0","0","idem_3fa9b2a69b3089925b91bf0e541e115d","PASS"
"SDU.Drift.Detection.Queue","drift.connection_surfaces","4bb2fc4a-405f-f111-a826-00224805f8f9","true","0","0","idem_856b882f3f848c2cd72b71befd0f7010","PASS"
"SDU.Drift.Detection.Queue","drift.connection_instances","4eb2fc4a-405f-f111-a826-00224805f8f9","true","0","0","idem_85033fec7bcf391f1b04040d5c5a9814","PASS"
"SDU.Drift.Detection.Queue","drift.connection_gates","51a2254b-405f-f111-a826-00224805f9dd","true","0","0","idem_eff6d89256d2c3f63b8bd24c84781850","PASS"
"SDU.Drift.Detection.Queue","drift.connection_secret_boundaries","67a2254b-405f-f111-a826-00224805f9dd","true","0","0","idem_11eb5072f5cf9b7069597e04a611e5e4","PASS"
"SDU.Drift.Detection.Queue","drift.connection_risks","de72fc50-405f-f111-a826-00224805f8f9","true","0","0","idem_1c2f48250902c79cf57f969b8bf3d9af","PASS"
"SDU.Evidence.Publish.Queue","evidence.conn_canon_000003","f972fc50-405f-f111-a826-00224805f8f9","true","0","0","idem_ccb8723070b63179c5533e6209930c87","PASS"
"SDU.Evidence.Publish.Queue","evidence.conn_canon_000004","cc522551-405f-f111-a826-00224805f9dd","true","0","0","idem_2b78d4b2a619ce328c58ec338a64da16","PASS"
"SDU.Evidence.Publish.Queue","evidence.conn_canon_000005","dd6ba850-405f-f111-a826-00224805fc91","true","0","0","idem_f0cef0ae48ef762e699b1f3b22860976","PASS"
"SDU.Evidence.Publish.Queue","evidence.conn_canon_000006","d7f8fb56-405f-f111-a826-00224805f8f9","true","0","0","idem_a1a8e6c49412c4d18609c2bf0c4b3cfe","PASS"
"SDU.Evidence.Publish.Queue","evidence.conn_canon_000007","e8f8fb56-405f-f111-a826-00224805f8f9","true","0","0","idem_a92eabbbf9b0c92c64caca606ce0db8d","PASS"
