"queue_name","source_table","risk_level","priority","ttl_minutes","status"
"SDU.Agent.Dispatch.Queue","mon_sdu_agent_connection_mapping","high","high","10080","PASS"
"SDU.Dataverse.Apply.Queue","mon_sdu_apply_log","high","high","10080","PASS"
"SDU.Gate.Review.Queue","mon_sdu_connection_gate","medium","medium","10080","PASS"
"SDU.Connection.Seed.Queue","mon_sdu_connection_instance","low","low","10080","PASS"
"SDU.Matrix.Intake.Queue","mon_sdu_connection_reference_registry","low","low","10080","PASS"
"SDU.Exception.Remediation.Queue","mon_sdu_connection_risk","high","high","10080","PASS"
"SDU.Gate.Review.Queue","mon_sdu_connection_secret_boundary","medium","medium","10080","PASS"
"SDU.Connection.Seed.Queue","mon_sdu_connection_surface","low","low","10080","PASS"
"SDU.Dataverse.Apply.Queue","mon_sdu_deployment_profile","high","high","10080","PASS"
"SDU.Matrix.Intake.Queue","mon_sdu_environment","low","low","10080","PASS"
"SDU.Matrix.Intake.Queue","mon_sdu_environment_variable_registry","low","low","10080","PASS"
"SDU.Evidence.Publish.Queue","mon_sdu_evidence","low","low","10080","PASS"
"SDU.Dataverse.Apply.Queue","mon_sdu_import_export_job","high","high","10080","PASS"
"SDU.Dataverse.Apply.Queue","mon_sdu_publisher","high","high","10080","PASS"
"SDU.Evidence.Publish.Queue","mon_sdu_readback","low","low","10080","PASS"
"SDU.Matrix.Intake.Queue","mon_sdu_repository","low","low","10080","PASS"
"SDU.Drift.Detection.Queue","mon_sdu_snapshot","medium","medium","10080","PASS"
"SDU.Dataverse.Apply.Queue","mon_sdu_solution","high","high","10080","PASS"
"SDU.Dataverse.Apply.Queue","mon_sdu_solution_component","high","high","10080","PASS"
"SDU.Matrix.Intake.Queue","mon_sdu_source_artifact","low","low","10080","PASS"
"SDU.Gate.Review.Queue","mon_sdu_stop_condition","medium","medium","10080","PASS"
"SDU.Gate.Review.Queue","mon_sdu_validation_gate","medium","medium","10080","PASS"
