"batch_id","item_type","queue_name","queue_id","uniqueidbyqueue","correlation_id","idempotency_key","name","priority","metadata_only","contains_secret","contains_personal_data","rollback","postcheck","stop_condition"
"20260603_workqueue_expanded_pilot_dev_v1","connection_seed","SDU.Connection.Seed.Queue","2277b5e7-3f5f-f111-a826-00224805f8f9","20260603_wqexp_v1_connection_seed_0011","corr_connection_seed_0011","20260603_wqexp_v1_connection_seed_0011","SDU Pilot connection_seed 0011","1","true","false","false","delete_workqueueitem_by_uniqueidbyqueue_only_if_explicit_future_rollback_order","aggregate_count_by_batch_and_queue","secret_or_pii_or_wrong_environment_or_duplicate_idempotency_key"
"20260603_workqueue_expanded_pilot_dev_v1","connection_seed","SDU.Connection.Seed.Queue","2277b5e7-3f5f-f111-a826-00224805f8f9","20260603_wqexp_v1_connection_seed_0012","corr_connection_seed_0012","20260603_wqexp_v1_connection_seed_0012","SDU Pilot connection_seed 0012","1","true","false","false","delete_workqueueitem_by_uniqueidbyqueue_only_if_explicit_future_rollback_order","aggregate_count_by_batch_and_queue","secret_or_pii_or_wrong_environment_or_duplicate_idempotency_key"
"20260603_workqueue_expanded_pilot_dev_v1","connection_seed","SDU.Connection.Seed.Queue","2277b5e7-3f5f-f111-a826-00224805f8f9","20260603_wqexp_v1_connection_seed_0013","corr_connection_seed_0013","20260603_wqexp_v1_connection_seed_0013","SDU Pilot connection_seed 0013","1","true","false","false","delete_workqueueitem_by_uniqueidbyqueue_only_if_explicit_future_rollback_order","aggregate_count_by_batch_and_queue","secret_or_pii_or_wrong_environment_or_duplicate_idempotency_key"
"20260603_workqueue_expanded_pilot_dev_v1","connection_seed","SDU.Connection.Seed.Queue","2277b5e7-3f5f-f111-a826-00224805f8f9","20260603_wqexp_v1_connection_seed_0014","corr_connection_seed_0014","20260603_wqexp_v1_connection_seed_0014","SDU Pilot connection_seed 0014","1","true","false","false","delete_workqueueitem_by_uniqueidbyqueue_only_if_explicit_future_rollback_order","aggregate_count_by_batch_and_queue","secret_or_pii_or_wrong_environment_or_duplicate_idempotency_key"
"20260603_workqueue_expanded_pilot_dev_v1","connection_seed","SDU.Connection.Seed.Queue","2277b5e7-3f5f-f111-a826-00224805f8f9","20260603_wqexp_v1_connection_seed_0015","corr_connection_seed_0015","20260603_wqexp_v1_connection_seed_0015","SDU Pilot connection_seed 0015","1","true","false","false","delete_workqueueitem_by_uniqueidbyqueue_only_if_explicit_future_rollback_order","aggregate_count_by_batch_and_queue","secret_or_pii_or_wrong_environment_or_duplicate_idempotency_key"
"20260603_workqueue_expanded_pilot_dev_v1","connection_seed","SDU.Connection.Seed.Queue","2277b5e7-3f5f-f111-a826-00224805f8f9","20260603_wqexp_v1_connection_seed_0016","corr_connection_seed_0016","20260603_wqexp_v1_connection_seed_0016","SDU Pilot connection_seed 0016","1","true","false","false","delete_workqueueitem_by_uniqueidbyqueue_only_if_explicit_future_rollback_order","aggregate_count_by_batch_and_queue","secret_or_pii_or_wrong_environment_or_duplicate_idempotency_key"
"20260603_workqueue_expanded_pilot_dev_v1","connection_seed","SDU.Connection.Seed.Queue","2277b5e7-3f5f-f111-a826-00224805f8f9","20260603_wqexp_v1_connection_seed_0017","corr_connection_seed_0017","20260603_wqexp_v1_connection_seed_0017","SDU Pilot connection_seed 0017","1","true","false","false","delete_workqueueitem_by_uniqueidbyqueue_only_if_explicit_future_rollback_order","aggregate_count_by_batch_and_queue","secret_or_pii_or_wrong_environment_or_duplicate_idempotency_key"
"20260603_workqueue_expanded_pilot_dev_v1","connection_seed","SDU.Connection.Seed.Queue","2277b5e7-3f5f-f111-a826-00224805f8f9","20260603_wqexp_v1_connection_seed_0018","corr_connection_seed_0018","20260603_wqexp_v1_connection_seed_0018","SDU Pilot connection_seed 0018","1","true","false","false","delete_workqueueitem_by_uniqueidbyqueue_only_if_explicit_future_rollback_order","aggregate_count_by_batch_and_queue","secret_or_pii_or_wrong_environment_or_duplicate_idempotency_key"
"20260603_workqueue_expanded_pilot_dev_v1","connection_seed","SDU.Connection.Seed.Queue","2277b5e7-3f5f-f111-a826-00224805f8f9","20260603_wqexp_v1_connection_seed_0019","corr_connection_seed_0019","20260603_wqexp_v1_connection_seed_0019","SDU Pilot connection_seed 0019","1","true","false","false","delete_workqueueitem_by_uniqueidbyqueue_only_if_explicit_future_rollback_order","aggregate_count_by_batch_and_queue","secret_or_pii_or_wrong_environment_or_duplicate_idempotency_key"
"20260603_workqueue_expanded_pilot_dev_v1","connection_seed","SDU.Connection.Seed.Queue","2277b5e7-3f5f-f111-a826-00224805f8f9","20260603_wqexp_v1_connection_seed_0020","corr_connection_seed_0020","20260603_wqexp_v1_connection_seed_0020","SDU Pilot connection_seed 0020","1","true","false","false","delete_workqueueitem_by_uniqueidbyqueue_only_if_explicit_future_rollback_order","aggregate_count_by_batch_and_queue","secret_or_pii_or_wrong_environment_or_duplicate_idempotency_key"
