"source_table","row_count","source_condition","destination_queue","queue_item_type","gate_id","risk_level","stop_condition","ai_assisted","ai_validation_status"
"mon_sdu_agent_connection_mapping","11","metadata_rows_present","SDU.Agent.Dispatch.Queue","AGENT_DISPATCH","GATE_METADATA_ONLY_QUEUE_BINDING","high","agent_dispatch_without_owner_or_gate","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_apply_log","0","metadata_table_ready_no_rows","SDU.Dataverse.Apply.Queue","DATAVERSE_APPLY","GATE_METADATA_ONLY_QUEUE_BINDING","high","dataverse_apply_without_governed_order","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_connection_gate","6","metadata_rows_present","SDU.Gate.Review.Queue","GATE_REVIEW","GATE_REVIEW_REQUIRED","medium","queue_payload_missing_required_fields","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_connection_instance","5000","metadata_rows_present","SDU.Connection.Seed.Queue","CONNECTION_SEED","GATE_METADATA_ONLY_QUEUE_BINDING","low","queue_payload_missing_required_fields","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_connection_reference_registry","0","metadata_table_ready_no_rows","SDU.Matrix.Intake.Queue","MATRIX_INTAKE","GATE_METADATA_ONLY_QUEUE_BINDING","low","queue_payload_missing_required_fields","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_connection_risk","5000","metadata_rows_present","SDU.Exception.Remediation.Queue","EXCEPTION_REMEDIATION","GATE_REVIEW_REQUIRED","high","queue_payload_missing_required_fields","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_connection_secret_boundary","5000","metadata_rows_present","SDU.Gate.Review.Queue","GATE_REVIEW","GATE_REVIEW_REQUIRED","medium","queue_payload_missing_required_fields","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_connection_surface","15","metadata_rows_present","SDU.Connection.Seed.Queue","CONNECTION_SEED","GATE_METADATA_ONLY_QUEUE_BINDING","low","queue_payload_missing_required_fields","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_deployment_profile","0","metadata_table_ready_no_rows","SDU.Dataverse.Apply.Queue","DATAVERSE_APPLY","GATE_METADATA_ONLY_QUEUE_BINDING","high","dataverse_apply_without_governed_order","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_environment","0","metadata_table_ready_no_rows","SDU.Matrix.Intake.Queue","MATRIX_INTAKE","GATE_METADATA_ONLY_QUEUE_BINDING","low","queue_payload_missing_required_fields","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_environment_variable_registry","0","metadata_table_ready_no_rows","SDU.Matrix.Intake.Queue","MATRIX_INTAKE","GATE_METADATA_ONLY_QUEUE_BINDING","low","queue_payload_missing_required_fields","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_evidence","5000","metadata_rows_present","SDU.Evidence.Publish.Queue","EVIDENCE_PUBLISH","GATE_METADATA_ONLY_QUEUE_BINDING","low","queue_payload_missing_required_fields","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_import_export_job","0","metadata_table_ready_no_rows","SDU.Dataverse.Apply.Queue","DATAVERSE_APPLY","GATE_METADATA_ONLY_QUEUE_BINDING","high","dataverse_apply_without_governed_order","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_publisher","0","metadata_table_ready_no_rows","SDU.Dataverse.Apply.Queue","DATAVERSE_APPLY","GATE_METADATA_ONLY_QUEUE_BINDING","high","dataverse_apply_without_governed_order","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_readback","0","metadata_table_ready_no_rows","SDU.Evidence.Publish.Queue","EVIDENCE_PUBLISH","GATE_METADATA_ONLY_QUEUE_BINDING","low","queue_payload_missing_required_fields","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_repository","0","metadata_table_ready_no_rows","SDU.Matrix.Intake.Queue","MATRIX_INTAKE","GATE_METADATA_ONLY_QUEUE_BINDING","low","queue_payload_missing_required_fields","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_snapshot","0","metadata_table_ready_no_rows","SDU.Drift.Detection.Queue","DRIFT_DETECTION","GATE_METADATA_ONLY_QUEUE_BINDING","medium","queue_payload_missing_required_fields","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_solution","0","metadata_table_ready_no_rows","SDU.Dataverse.Apply.Queue","DATAVERSE_APPLY","GATE_METADATA_ONLY_QUEUE_BINDING","high","dataverse_apply_without_governed_order","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_solution_component","0","metadata_table_ready_no_rows","SDU.Dataverse.Apply.Queue","DATAVERSE_APPLY","GATE_METADATA_ONLY_QUEUE_BINDING","high","dataverse_apply_without_governed_order","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_source_artifact","0","metadata_table_ready_no_rows","SDU.Matrix.Intake.Queue","MATRIX_INTAKE","GATE_METADATA_ONLY_QUEUE_BINDING","low","queue_payload_missing_required_fields","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_stop_condition","0","metadata_table_ready_no_rows","SDU.Gate.Review.Queue","GATE_REVIEW","GATE_REVIEW_REQUIRED","medium","queue_payload_missing_required_fields","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_validation_gate","0","metadata_table_ready_no_rows","SDU.Gate.Review.Queue","GATE_REVIEW","GATE_REVIEW_REQUIRED","medium","queue_payload_missing_required_fields","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
