"environment_url","solution_unique_name","table_logical_name","column_logical_name","exists_after_apply","postcheck"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_agent_connection_mapping","mon_queue_name","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_agent_connection_mapping","mon_queue_item_id","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_agent_connection_mapping","mon_queue_item_status","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_agent_connection_mapping","mon_correlation_id","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_agent_connection_mapping","mon_idempotency_key","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_agent_connection_mapping","mon_dispatch_batch_id","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_agent_connection_mapping","mon_dispatch_status","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_agent_connection_mapping","mon_dispatched_at","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_agent_connection_mapping","mon_dispatch_result","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_agent_connection_mapping","mon_last_queue_sync_at","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_agent_connection_mapping","mon_queue_stop_condition","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_agent_connection_mapping","mon_ai_assisted","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_agent_connection_mapping","mon_ai_validation_status","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_apply_log","mon_queue_name","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_apply_log","mon_queue_item_id","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_apply_log","mon_queue_item_status","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_apply_log","mon_correlation_id","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_apply_log","mon_idempotency_key","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_apply_log","mon_dispatch_batch_id","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_apply_log","mon_dispatch_status","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_apply_log","mon_dispatched_at","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_apply_log","mon_dispatch_result","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_apply_log","mon_last_queue_sync_at","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_apply_log","mon_queue_stop_condition","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_apply_log","mon_ai_assisted","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_apply_log","mon_ai_validation_status","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_connection_gate","mon_queue_name","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_connection_gate","mon_queue_item_id","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_connection_gate","mon_queue_item_status","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_connection_gate","mon_correlation_id","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_connection_gate","mon_idempotency_key","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_connection_gate","mon_dispatch_batch_id","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_connection_gate","mon_dispatch_status","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_connection_gate","mon_dispatched_at","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_connection_gate","mon_dispatch_result","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_connection_gate","mon_last_queue_sync_at","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_connection_gate","mon_queue_stop_condition","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_connection_gate","mon_ai_assisted","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_connection_gate","mon_ai_validation_status","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_connection_instance","mon_queue_name","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_connection_instance","mon_queue_item_id","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_connection_instance","mon_queue_item_status","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_connection_instance","mon_correlation_id","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_connection_instance","mon_idempotency_key","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_connection_instance","mon_dispatch_batch_id","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_connection_instance","mon_dispatch_status","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_connection_instance","mon_dispatched_at","True","PASS"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_connection_instance","mon_dispatch_result","True","PASS"
