"environment_url","solution_unique_name","table_logical_name","column_logical_name","display_name","max_length","planned_action","delete_allowed","prod_test_default_allowed","rollback","postcheck","stop_condition"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_agent_connection_mapping","mon_queue_name","Queue Name","450","verify_existing","false","false","remove_created_column_only_if_explicit_future_rollback_order","metadata_attribute_exists","wrong_environment_or_secret_or_prod_test_default_or_create_failure"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_agent_connection_mapping","mon_queue_item_id","Queue Item ID","100","verify_existing","false","false","remove_created_column_only_if_explicit_future_rollback_order","metadata_attribute_exists","wrong_environment_or_secret_or_prod_test_default_or_create_failure"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_agent_connection_mapping","mon_queue_item_status","Queue Item Status","100","verify_existing","false","false","remove_created_column_only_if_explicit_future_rollback_order","metadata_attribute_exists","wrong_environment_or_secret_or_prod_test_default_or_create_failure"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_agent_connection_mapping","mon_correlation_id","Correlation ID","150","verify_existing","false","false","remove_created_column_only_if_explicit_future_rollback_order","metadata_attribute_exists","wrong_environment_or_secret_or_prod_test_default_or_create_failure"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_agent_connection_mapping","mon_idempotency_key","Idempotency Key","200","verify_existing","false","false","remove_created_column_only_if_explicit_future_rollback_order","metadata_attribute_exists","wrong_environment_or_secret_or_prod_test_default_or_create_failure"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_agent_connection_mapping","mon_dispatch_batch_id","Dispatch Batch ID","150","verify_existing","false","false","remove_created_column_only_if_explicit_future_rollback_order","metadata_attribute_exists","wrong_environment_or_secret_or_prod_test_default_or_create_failure"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_agent_connection_mapping","mon_dispatch_status","Dispatch Status","100","verify_existing","false","false","remove_created_column_only_if_explicit_future_rollback_order","metadata_attribute_exists","wrong_environment_or_secret_or_prod_test_default_or_create_failure"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_agent_connection_mapping","mon_dispatched_at","Dispatched At","100","verify_existing","false","false","remove_created_column_only_if_explicit_future_rollback_order","metadata_attribute_exists","wrong_environment_or_secret_or_prod_test_default_or_create_failure"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_agent_connection_mapping","mon_dispatch_result","Dispatch Result","1000","verify_existing","false","false","remove_created_column_only_if_explicit_future_rollback_order","metadata_attribute_exists","wrong_environment_or_secret_or_prod_test_default_or_create_failure"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_agent_connection_mapping","mon_last_queue_sync_at","Last Queue Sync At","100","verify_existing","false","false","remove_created_column_only_if_explicit_future_rollback_order","metadata_attribute_exists","wrong_environment_or_secret_or_prod_test_default_or_create_failure"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_agent_connection_mapping","mon_queue_stop_condition","Queue Stop Condition","250","verify_existing","false","false","remove_created_column_only_if_explicit_future_rollback_order","metadata_attribute_exists","wrong_environment_or_secret_or_prod_test_default_or_create_failure"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_agent_connection_mapping","mon_ai_assisted","AI Assisted","50","verify_existing","false","false","remove_created_column_only_if_explicit_future_rollback_order","metadata_attribute_exists","wrong_environment_or_secret_or_prod_test_default_or_create_failure"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_agent_connection_mapping","mon_ai_validation_status","AI Validation Status","100","verify_existing","false","false","remove_created_column_only_if_explicit_future_rollback_order","metadata_attribute_exists","wrong_environment_or_secret_or_prod_test_default_or_create_failure"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_apply_log","mon_queue_name","Queue Name","450","verify_existing","false","false","remove_created_column_only_if_explicit_future_rollback_order","metadata_attribute_exists","wrong_environment_or_secret_or_prod_test_default_or_create_failure"
"https://org084965d9.crm.dynamics.com","SDUCapabilityControlPlane","mon_sdu_apply_log","mon_queue_item_id","Queue Item ID","100","verify_existing","false","false","remove_created_column_only_if_explicit_future_rollback_order","metadata_attribute_exists","wrong_environment_or_secret_or_prod_test_default_or_create_failure"
