"table_logical_name","required_field","present","action","workaround","status"
"mon_sdu_agent_connection_mapping","mon_queue_name","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_agent_connection_mapping","mon_queue_item_id","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_agent_connection_mapping","mon_queue_item_status","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_agent_connection_mapping","mon_correlation_id","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_agent_connection_mapping","mon_idempotency_key","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_agent_connection_mapping","mon_batch_id","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_agent_connection_mapping","mon_dispatch_status","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_agent_connection_mapping","mon_dispatched_at","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_agent_connection_mapping","mon_dispatch_result","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_agent_connection_mapping","mon_ai_assisted","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_agent_connection_mapping","mon_ai_validation_status","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_apply_log","mon_queue_name","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_apply_log","mon_queue_item_id","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_apply_log","mon_queue_item_status","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_apply_log","mon_correlation_id","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_apply_log","mon_idempotency_key","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_apply_log","mon_batch_id","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_apply_log","mon_dispatch_status","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_apply_log","mon_dispatched_at","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_apply_log","mon_dispatch_result","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_apply_log","mon_ai_assisted","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_apply_log","mon_ai_validation_status","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_connection_gate","mon_queue_name","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_connection_gate","mon_queue_item_id","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_connection_gate","mon_queue_item_status","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_connection_gate","mon_correlation_id","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_connection_gate","mon_idempotency_key","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_connection_gate","mon_batch_id","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_connection_gate","mon_dispatch_status","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_connection_gate","mon_dispatched_at","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_connection_gate","mon_dispatch_result","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_connection_gate","mon_ai_assisted","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_connection_gate","mon_ai_validation_status","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_connection_instance","mon_queue_name","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_connection_instance","mon_queue_item_id","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_connection_instance","mon_queue_item_status","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_connection_instance","mon_correlation_id","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
"mon_sdu_connection_instance","mon_idempotency_key","False","do_not_create_column_without_gate","carry_value_in_queue_payload","GAP"
