"file_path","change_type","lane","should_commit","sensitivity","contains_secret_material","source_state","target_commit_group","review_required","notes"
".agents/codex/matrices/MATRIX_INDEX.csv","modified","matrix_index_governance","yes","non_sensitive","pending_scan","modified_tracked","chore(index): update matrix index for versioning artifacts","yes","registers new local versioning matrices"
".github/workflows/dataverse-drift-detection.yml","added","github_actions_validation_gates","yes","repo_metadata","pending_scan","untracked","docs(governance): add readbacks gates rollback and validation evidence","yes","workflow gate definitions only; no secrets expected"
".github/workflows/dataverse-export-dev.yml","added","github_actions_validation_gates","yes","repo_metadata","pending_scan","untracked","docs(governance): add readbacks gates rollback and validation evidence","yes","workflow gate definitions only; no secrets expected"
".github/workflows/dataverse-import-dev.manual.yml","added","github_actions_validation_gates","yes","repo_metadata","pending_scan","untracked","docs(governance): add readbacks gates rollback and validation evidence","yes","workflow gate definitions only; no secrets expected"
".github/workflows/dataverse-precheck-dev.yml","added","github_actions_validation_gates","yes","repo_metadata","pending_scan","untracked","docs(governance): add readbacks gates rollback and validation evidence","yes","workflow gate definitions only; no secrets expected"
".github/workflows/dataverse-promote-prod.manual.yml","added","github_actions_validation_gates","yes","repo_metadata","pending_scan","untracked","docs(governance): add readbacks gates rollback and validation evidence","yes","workflow gate definitions only; no secrets expected"
".github/workflows/dataverse-promote-test.manual.yml","added","github_actions_validation_gates","yes","repo_metadata","pending_scan","untracked","docs(governance): add readbacks gates rollback and validation evidence","yes","workflow gate definitions only; no secrets expected"
".github/workflows/dataverse-validate-manifest.yml","added","github_actions_validation_gates","yes","repo_metadata","pending_scan","untracked","docs(governance): add readbacks gates rollback and validation evidence","yes","workflow gate definitions only; no secrets expected"
".gitignore","modified","gitignore_safety","yes","non_sensitive","pending_scan","modified_tracked","chore(gitignore): protect local secrets and allow governed metadata artifacts","yes","protect local secrets/runtime files and allow governed metadata-only artifacts"
"dataverse/data/README.md","added","dataverse_dev_metadata_only","yes","metadata_only","pending_scan","untracked","feat(dataverse): add governed DEV metadata-only registry seed","yes","DEV metadata-only manifest/seed/evidence"
"dataverse/data/seed_agent_connection_mapping.csv","added","dataverse_dev_metadata_only","yes","metadata_only","pending_scan","untracked","feat(dataverse): add governed DEV metadata-only registry seed","yes","DEV metadata-only manifest/seed/evidence"
"dataverse/data/seed_capabilities.csv","added","dataverse_dev_metadata_only","yes","metadata_only","pending_scan","untracked","feat(dataverse): add governed DEV metadata-only registry seed","yes","DEV metadata-only manifest/seed/evidence"
"dataverse/data/seed_connection_evidence.csv","added","connection_registry_seed","yes","metadata_only","pending_scan","untracked","feat(connections): add canonical connection registry dedup and seed prep","yes","connection registry seed/dedup metadata"
"dataverse/data/seed_connection_gates.csv","added","connection_registry_seed","yes","metadata_only","pending_scan","untracked","feat(connections): add canonical connection registry dedup and seed prep","yes","connection registry seed/dedup metadata"
"dataverse/data/seed_connection_instances.csv","added","connection_registry_seed","yes","metadata_only","pending_scan","untracked","feat(connections): add canonical connection registry dedup and seed prep","yes","connection registry seed/dedup metadata"
"dataverse/data/seed_connection_risks.csv","added","connection_registry_seed","yes","metadata_only","pending_scan","untracked","feat(connections): add canonical connection registry dedup and seed prep","yes","connection registry seed/dedup metadata"
"dataverse/data/seed_connection_secret_boundaries.csv","added","connection_registry_seed","yes","metadata_only","pending_scan","untracked","feat(connections): add canonical connection registry dedup and seed prep","yes","connection registry seed/dedup metadata"
"dataverse/data/seed_connection_surfaces.csv","added","connection_registry_seed","yes","metadata_only","pending_scan","untracked","feat(connections): add canonical connection registry dedup and seed prep","yes","connection registry seed/dedup metadata"
"dataverse/data/seed_environments.csv","added","dataverse_dev_metadata_only","yes","metadata_only","pending_scan","untracked","feat(dataverse): add governed DEV metadata-only registry seed","yes","DEV metadata-only manifest/seed/evidence"
"dataverse/data/seed_matrices.csv","added","dataverse_dev_metadata_only","yes","metadata_only","pending_scan","untracked","feat(dataverse): add governed DEV metadata-only registry seed","yes","DEV metadata-only manifest/seed/evidence"
"dataverse/data/seed_validation_gates.csv","added","dataverse_dev_metadata_only","yes","metadata_only","pending_scan","untracked","feat(dataverse): add governed DEV metadata-only registry seed","yes","DEV metadata-only manifest/seed/evidence"
"dataverse/schema/sdu_agent.yml","added","dataverse_dev_metadata_only","yes","metadata_only","pending_scan","untracked","feat(dataverse): add governed DEV metadata-only registry seed","yes","DEV metadata-only manifest/seed/evidence"
"dataverse/schema/sdu_apply_log.yml","added","dataverse_dev_metadata_only","yes","metadata_only","pending_scan","untracked","feat(dataverse): add governed DEV metadata-only registry seed","yes","DEV metadata-only manifest/seed/evidence"
"dataverse/schema/sdu_capability_mapping.yml","added","dataverse_dev_metadata_only","yes","metadata_only","pending_scan","untracked","feat(dataverse): add governed DEV metadata-only registry seed","yes","DEV metadata-only manifest/seed/evidence"
"dataverse/schema/sdu_capability.yml","added","dataverse_dev_metadata_only","yes","metadata_only","pending_scan","untracked","feat(dataverse): add governed DEV metadata-only registry seed","yes","DEV metadata-only manifest/seed/evidence"
"dataverse/schema/sdu_environment.yml","added","dataverse_dev_metadata_only","yes","metadata_only","pending_scan","untracked","feat(dataverse): add governed DEV metadata-only registry seed","yes","DEV metadata-only manifest/seed/evidence"
"dataverse/schema/sdu_evidence.yml","added","dataverse_dev_metadata_only","yes","metadata_only","pending_scan","untracked","feat(dataverse): add governed DEV metadata-only registry seed","yes","DEV metadata-only manifest/seed/evidence"
"dataverse/schema/sdu_matrix_version.yml","added","dataverse_dev_metadata_only","yes","metadata_only","pending_scan","untracked","feat(dataverse): add governed DEV metadata-only registry seed","yes","DEV metadata-only manifest/seed/evidence"
"dataverse/schema/sdu_matrix.yml","added","dataverse_dev_metadata_only","yes","metadata_only","pending_scan","untracked","feat(dataverse): add governed DEV metadata-only registry seed","yes","DEV metadata-only manifest/seed/evidence"
"dataverse/schema/sdu_propagation_rule.yml","added","dataverse_dev_metadata_only","yes","metadata_only","pending_scan","untracked","feat(dataverse): add governed DEV metadata-only registry seed","yes","DEV metadata-only manifest/seed/evidence"
