"library","function","classification","evidence_level","notes"
"LIB_Formacion","training and onboarding","surface_visible_only","library_visible","name indicates training support; not browsed deeper"
"Documents","default document library","surface_visible_only","library_visible","root drive for site documents"
"LIB_DesignSystem","design system support","surface_visible_only","library_visible","name indicates design system materials"
"LIB_PuenteDocumental_SGIN","document bridge / crosswalk","surface_visible_only","library_visible","name indicates bridge with SGIN documentary surfaces"
"LIB_AgentPrompts","prompt library","surface_visible_only","library_visible","name indicates reusable prompt assets"
"LIB_GobiernoSistemas","governance and execution core","browsed","folder_tree_confirmed","main operational bundle; tree captured in readback"
"LIB_ReplicaOperativa","operational replica / mirror","surface_visible_only","library_visible","name indicates replica surface; not browsed"
"LIB_ExportacionesControladas","controlled exports","surface_visible_only","library_visible","name indicates export control surface; not browsed"
"EvidenciasCarga","load evidence","surface_visible_only","library_visible","name indicates evidence capture for loads"
"LIB_KnowledgeBase","knowledge base","surface_visible_only","library_visible","name indicates knowledge repository; not browsed"
"LIB_Plantillas","templates","surface_visible_only","library_visible","name indicates reusable templates; not browsed"
"LIB_DiccionarioCanonico","canonical dictionary / canon","surface_visible_only","library_visible","name indicates canonical terms and definitions; not browsed"
"LIB_PilotoPermisosControlados","permission pilot","surface_visible_only","library_visible","name indicates controlled permission surface"
"LIB_VozInstitucional","institutional voice","surface_visible_only","library_visible","name indicates comms/voice surface"
"LIB_EvidenciaTecnica","technical evidence","surface_visible_only","library_visible","name indicates technical evidence surface"
"LIB_Runbooks","runbooks","surface_visible_only","library_visible","name indicates procedural documentation surface"
