"branch_original","branch_canonica","referencia","action","outcome","source_commit_count","applied_commit_count","canonical_head","rollback","postcheck","notes"
"codex/version-agents-sdk-live-findings-20260605","codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001","ISSUE-RECON-001","REQUIERE_DECISION_NORMATIVA","CHERRY_PICK_CONFLICT_ABORTED","7","0","","git cherry-pick --abort ejecutado; no branch creada","abort_exit=0;status=UU .agents/codex/matrices/MATRIX_INDEX.csv | UU .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv | AA .agents/codex/readbacks/2026-06-05_agents_sdk_live_agent_global_operability_readback.md | UU .gitignore | ?? .agents/codex/workpapers/branch_inventory_20260608/ | ?? .agents/codex/workpapers/branch_reconciliation_phase1_20260608/","Auto-merging .agents/codex/matrices/MATRIX_INDEX.csv CONFLICT (content): Merge conflict in .agents/codex/matrices/MATRIX_INDEX.csv Auto-merging .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv CONFLICT (content): Merge conflict in .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv Auto-merging .agents/codex/readbacks/2026-06-05_agents_sdk_live_agent_global_operability_readback.md CONFLICT (add/add): Merge conflict in .agents/codex/readbacks/2026-06-05_agents_sdk_live_agent_global_operability_readback.md Auto-merging .gitignore CONFLICT (content): Merge conflict in .gitignore error: could not apply b53718f... chore(agents): version live sdk findings hint: After resolving the conflicts, mark them with hint: 'git add/rm <pathspec>', then run hint: 'git cherry-pick --continue'. hint: You can instead skip this commit with 'git cherry-pick --skip'. hint: To abort and get back to the state before 'git cherry-pick', hint: run 'git cherry-pick --abort'. hint: Disable this message with 'git config set advice.mergeConflict false'"
"codex/cabina-operating-system-consolidation-20260605","codex/gov/cabina/operating-system-consolidation__ISSUE-RECON-002","ISSUE-RECON-002","REQUIERE_DECISION_NORMATIVA","CHERRY_PICK_CONFLICT_ABORTED","3","0","","git cherry-pick --abort ejecutado; no branch creada","abort_exit=0;status=AA .agents/codex/matrices/CABINA_OPERATING_SYSTEM_RECONCILIATION_20260605.csv | UU .agents/codex/matrices/EVIDENCE_AND_VALIDATION_MATRIX.csv | UU .agents/codex/matrices/MATRIX_INDEX.csv | UU .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv | AA .agents/codex/readbacks/2026-06-05_cabina_operating_system_consolidation_readback.md | UU .gitignore | UU 02_AUTHORITY_CANON/CURRENT_STATE.md | UU AGENTS.md | UU MANIFEST.yaml | AA governance/canon/CABINA_OPERATING_SYSTEM_CONSTITUTION.md | ?? .agents/codex/workpapers/branch_inventory_20260608/ | ?? .agents/codex/workpapers/branch_reconciliation_phase1_20260608/","Auto-merging .agents/codex/matrices/CABINA_OPERATING_SYSTEM_RECONCILIATION_20260605.csv CONFLICT (add/add): Merge conflict in .agents/codex/matrices/CABINA_OPERATING_SYSTEM_RECONCILIATION_20260605.csv Auto-merging .agents/codex/matrices/EVIDENCE_AND_VALIDATION_MATRIX.csv CONFLICT (content): Merge conflict in .agents/codex/matrices/EVIDENCE_AND_VALIDATION_MATRIX.csv Auto-merging .agents/codex/matrices/MATRIX_INDEX.csv CONFLICT (content): Merge conflict in .agents/codex/matrices/MATRIX_INDEX.csv Auto-merging .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv CONFLICT (content): Merge conflict in .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv Auto-merging .agents/codex/readbacks/2026-06-05_cabina_operating_system_consolidation_readback.md CONFLICT (add/add): Merge conflict in .agents/codex/readbacks/2026-06-05_cabina_operating_system_consolidation_readback.md Auto-merging .gitignore CONFLICT (content): Merge conflict in .gitignore Auto-merging 02_AUTHORITY_CANON/CURRENT_STATE.md CONFLICT (content): Merge conflict in 02_AUTHORITY_CANON/CURRENT_STATE.md Auto-merging AGENTS.md CONFLICT (content): Merge conflict in AGENTS.md Auto-merging MANIFEST.yaml CONFLICT (content): Merge conflict in MANIFEST.yaml Auto-merging governance/canon/CABINA_OPERATING_SYSTEM_CONSTITUTION.md CONFLICT (add/add): Merge conflict in governance/canon/CABINA_OPERATING_SYSTEM_CONSTITUTION.md error: could not apply 382b0bd... docs: consolidate cabina operating system canon hint: After resolving the conflicts, mark them with hint: 'git add/rm <pathspec>', then run hint: 'git cherry-pick --continue'. hint: You can instead skip this commit with 'git cherry-pick --skip'. hint: To abort and get back to the state before 'git cherry-pick', hint: run 'git cherry-pick --abort'. hint: Disable this message with 'git config set advice.mergeConflict false'"
"codex/cabina-full-automation-by-planes-20260605","codex/feature/cabina/full-automation-planes__ISSUE-RECON-003","ISSUE-RECON-003","REQUIERE_DECISION_NORMATIVA","CHERRY_PICK_CONFLICT_ABORTED","2","0","","git cherry-pick --abort ejecutado; no branch creada","abort_exit=0;status=UU .agents/codex/matrices/CHANGE_AWARE_TEST_MANIFEST.csv | UU .agents/codex/matrices/MATRIX_INDEX.csv | UU .agents/codex/matrices/TOOL_GOVERNANCE_MATRIX.csv | UU .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv | UU .agents/codex/tools/TOOL_INDEX.csv | UU .gitignore | ?? .agents/codex/workpapers/branch_inventory_20260608/ | ?? .agents/codex/workpapers/branch_reconciliation_phase1_20260608/","Auto-merging .agents/codex/matrices/CHANGE_AWARE_TEST_MANIFEST.csv CONFLICT (content): Merge conflict in .agents/codex/matrices/CHANGE_AWARE_TEST_MANIFEST.csv Auto-merging .agents/codex/matrices/MATRIX_INDEX.csv CONFLICT (content): Merge conflict in .agents/codex/matrices/MATRIX_INDEX.csv Auto-merging .agents/codex/matrices/TOOL_GOVERNANCE_MATRIX.csv CONFLICT (content): Merge conflict in .agents/codex/matrices/TOOL_GOVERNANCE_MATRIX.csv Auto-merging .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv CONFLICT (content): Merge conflict in .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv Auto-merging .agents/codex/tools/TOOL_INDEX.csv CONFLICT (content): Merge conflict in .agents/codex/tools/TOOL_INDEX.csv Auto-merging .gitignore CONFLICT (content): Merge conflict in .gitignore error: could not apply 2fd2020... feat(cos): add automation plane matrix hint: After resolving the conflicts, mark them with hint: 'git add/rm <pathspec>', then run hint: 'git cherry-pick --continue'. hint: You can instead skip this commit with 'git cherry-pick --skip'. hint: To abort and get back to the state before 'git cherry-pick', hint: run 'git cherry-pick --abort'. hint: Disable this message with 'git config set advice.mergeConflict false'"
"codex/power-platform-teams-governance-alm-20260603","codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004","ISSUE-RECON-004","REQUIERE_DECISION_NORMATIVA","CHERRY_PICK_CONFLICT_ABORTED","1","0","","git cherry-pick --abort ejecutado; no branch creada","abort_exit=0;status=UU .agents/codex/maps/CODEX_CLOUD_GOVERNED_LANE.md | M  .agents/codex/maps/RUNTIME_PARALLEL_ACTIVATION.md | UU .agents/codex/matrices/CODEX_CLOUD_GOVERNED_LANE_MATRIX.csv | AA .agents/codex/matrices/D_SKILL_AVAILABILITY_AND_ISSUE_PR_FRICTION_MATRIX.csv | UU .agents/codex/matrices/LOCAL_SKILL_CATALOG.csv | UU .agents/codex/matrices/MATRIX_INDEX.csv | AA .agents/codex/matrices/POWERSHELL_RUNTIME_FRICTION_MATRIX.csv | A  .agents/codex/matrices/SKILL_INTEGRATION_DECISION_MATRIX_20260603.csv | UU .agents/codex/matrices/TOOL_GOVERNANCE_MATRIX.csv | UU .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv | A  .agents/codex/readbacks/2026-06-03_sdu_cn_human_operational_mandate_readback.md | A  .agents/codex/readbacks/2026-06-04_work_dispatch_agents_sdk_activation_readback.md | UU .agents/codex/recipes/RECIPE_INDEX.csv | UU .agents/codex/recipes/recipe.codex_cloud_governed_lane.md | AA .agents/codex/recipes/recipe.d_skill_availability_issue_pr_friction_review.md | AA .agents/codex/recipes/recipe.powershell_runtime_friction_guard.md | UU .agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv | M  .agents/codex/skills/SKILL_USAGE_MATRIX.csv | UU .agents/codex/tools/TOOL_INDEX.csv | AA .agents/codex/tools/local_validate_d_skill_availability_and_issue_pr_friction.ps1 | AA .agents/codex/tools/local_validate_powershell_runtime_friction.ps1 | A  .agents/skills/cabina-document-plugin-adapter/SKILL.md | A  .agents/skills/cabina-github-plugin-adapter/SKILL.md | A  .agents/skills/cabina-sharepoint-plugin-adapter/SKILL.md | A  .agents/skills/cabina-superpowers-methodology-adapter/SKILL.md | A  .agents/skills/cabina-teams-plugin-adapter/SKILL.md | A  .agents/skills/rey-modo-evidencia-riesgo-handoff/SKILL.md | A  .agents/skills/rey-modo-gobernador-capacidades/SKILL.md | A  .agents/skills/sdu-ejecutor-gates/SKILL.md | A  .agents/skills/skill-judge/SKILL.md | A  .agents/skills/tcu-desarrollo-con-subagentes/SKILL.md | A  .agents/skills/tcu-harness-evals-agentes/SKILL.md | A  .agents/skills/tcu-normalizador-sistema-modo-on/SKILL.md | A  .agents/skills/tcu-planificador-con-archivos/SKILL.md | A  .agents/skills/tcu-redactor-planes-operativos/SKILL.md | UU .gitignore | M  02_AUTHORITY_CANON/CURRENT_STATE.md | UU 02_AUTHORITY_CANON/GOVERNED_ORDERS_INDEX.csv | A  02_AUTHORITY_CANON/POLICIES/SDU_CN_HUMAN_OPERATIONAL_MANDATE_POLICY_20260603.md | M  AGENTS.md | A  readbacks/postmerge/READBACK_EXEC_APPLY_OPENAI_SDK_MICROSOFT_PRODUCTION_REVIEW_20260604.md | ?? .agents/codex/workpapers/branch_inventory_20260608/ | ?? .agents/codex/workpapers/branch_reconciliation_phase1_20260608/","Auto-merging .agents/codex/maps/CODEX_CLOUD_GOVERNED_LANE.md CONFLICT (content): Merge conflict in .agents/codex/maps/CODEX_CLOUD_GOVERNED_LANE.md Auto-merging .agents/codex/maps/RUNTIME_PARALLEL_ACTIVATION.md Auto-merging .agents/codex/matrices/CODEX_CLOUD_GOVERNED_LANE_MATRIX.csv CONFLICT (content): Merge conflict in .agents/codex/matrices/CODEX_CLOUD_GOVERNED_LANE_MATRIX.csv Auto-merging .agents/codex/matrices/D_SKILL_AVAILABILITY_AND_ISSUE_PR_FRICTION_MATRIX.csv CONFLICT (add/add): Merge conflict in .agents/codex/matrices/D_SKILL_AVAILABILITY_AND_ISSUE_PR_FRICTION_MATRIX.csv Auto-merging .agents/codex/matrices/LOCAL_SKILL_CATALOG.csv CONFLICT (content): Merge conflict in .agents/codex/matrices/LOCAL_SKILL_CATALOG.csv Auto-merging .agents/codex/matrices/MATRIX_INDEX.csv CONFLICT (content): Merge conflict in .agents/codex/matrices/MATRIX_INDEX.csv Auto-merging .agents/codex/matrices/POWERSHELL_RUNTIME_FRICTION_MATRIX.csv CONFLICT (add/add): Merge conflict in .agents/codex/matrices/POWERSHELL_RUNTIME_FRICTION_MATRIX.csv Auto-merging .agents/codex/matrices/TOOL_GOVERNANCE_MATRIX.csv CONFLICT (content): Merge conflict in .agents/codex/matrices/TOOL_GOVERNANCE_MATRIX.csv Auto-merging .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv CONFLICT (content): Merge conflict in .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv Auto-merging .agents/codex/recipes/RECIPE_INDEX.csv CONFLICT (content): Merge conflict in .agents/codex/recipes/RECIPE_INDEX.csv Auto-merging .agents/codex/recipes/recipe.codex_cloud_governed_lane.md CONFLICT (content): Merge conflict in .agents/codex/recipes/recipe.codex_cloud_governed_lane.md Auto-merging .agents/codex/recipes/recipe.d_skill_availability_issue_pr_friction_review.md CONFLICT (add/add): Merge conflict in .agents/codex/recipes/recipe.d_skill_availability_issue_pr_friction_review.md Auto-merging .agents/codex/recipes/recipe.powershell_runtime_friction_guard.md CONFLICT (add/add): Merge conflict in .agents/codex/recipes/recipe.powershell_runtime_friction_guard.md Auto-merging .agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv CONFLICT (content): Merge conflict in .agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv Auto-merging .agents/codex/skills/SKILL_USAGE_MATRIX.csv Auto-merging .agents/codex/tools/TOOL_INDEX.csv CONFLICT (content): Merge conflict in .agents/codex/tools/TOOL_INDEX.csv Auto-merging .agents/codex/tools/local_validate_d_skill_availability_and_issue_pr_friction.ps1 CONFLICT (add/add): Merge conflict in .agents/codex/tools/local_validate_d_skill_availability_and_issue_pr_friction.ps1 Auto-merging .agents/codex/tools/local_validate_powershell_runtime_friction.ps1 CONFLICT (add/add): Merge conflict in .agents/codex/tools/local_validate_powershell_runtime_friction.ps1 Auto-merging .gitignore CONFLICT (content): Merge conflict in .gitignore Auto-merging 02_AUTHORITY_CANON/CURRENT_STATE.md Auto-merging 02_AUTHORITY_CANON/GOVERNED_ORDERS_INDEX.csv CONFLICT (content): Merge conflict in 02_AUTHORITY_CANON/GOVERNED_ORDERS_INDEX.csv Auto-merging AGENTS.md error: could not apply e1bf768... Govern cabina agent dispatch and skill adapters hint: After resolving the conflicts, mark them with hint: 'git add/rm <pathspec>', then run hint: 'git cherry-pick --continue'. hint: You can instead skip this commit with 'git cherry-pick --skip'. hint: To abort and get back to the state before 'git cherry-pick', hint: run 'git cherry-pick --abort'. hint: Disable this message with 'git config set advice.mergeConflict false'"
"codex/agent-global-dirty-reconciliation-20260605","codex/gov/agents/global-operability-reconciliation__ISSUE-RECON-005","ISSUE-RECON-005","REQUIERE_DECISION_NORMATIVA","CHERRY_PICK_CONFLICT_ABORTED","1","0","","git cherry-pick --abort ejecutado; no branch creada","abort_exit=0;status=UU .agents/codex/matrices/PARALLEL_OPERATION_CRITERIA_MATRIX.csv | UU .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv | ?? .agents/codex/workpapers/branch_inventory_20260608/ | ?? .agents/codex/workpapers/branch_reconciliation_phase1_20260608/","Auto-merging .agents/codex/matrices/MATRIX_INDEX.csv Auto-merging .agents/codex/matrices/PARALLEL_OPERATION_CRITERIA_MATRIX.csv CONFLICT (content): Merge conflict in .agents/codex/matrices/PARALLEL_OPERATION_CRITERIA_MATRIX.csv Auto-merging .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv CONFLICT (content): Merge conflict in .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv Auto-merging AGENTS.md error: could not apply e4c3b5e... feat(agents): reconcile global operability lane hint: After resolving the conflicts, mark them with hint: 'git add/rm <pathspec>', then run hint: 'git cherry-pick --continue'. hint: You can instead skip this commit with 'git cherry-pick --skip'. hint: To abort and get back to the state before 'git cherry-pick', hint: run 'git cherry-pick --abort'. hint: Disable this message with 'git config set advice.mergeConflict false'"
"codex/agent-global-operability-gate-queue-20260605","codex/hardening/agents/global-operability-gate-queue__ISSUE-RECON-006","ISSUE-RECON-006","REQUIERE_DECISION_NORMATIVA","CHERRY_PICK_CONFLICT_ABORTED","1","0","","git cherry-pick --abort ejecutado; no branch creada","abort_exit=0;status=UU .agents/codex/matrices/MATRIX_INDEX.csv | UU .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv | ?? .agents/codex/workpapers/branch_inventory_20260608/ | ?? .agents/codex/workpapers/branch_reconciliation_phase1_20260608/","Auto-merging .agents/codex/matrices/MATRIX_INDEX.csv CONFLICT (content): Merge conflict in .agents/codex/matrices/MATRIX_INDEX.csv Auto-merging .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv CONFLICT (content): Merge conflict in .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv Auto-merging .gitignore error: could not apply 4e7a3c6... chore(agents): prepare operability gate queue hint: After resolving the conflicts, mark them with hint: 'git add/rm <pathspec>', then run hint: 'git cherry-pick --continue'. hint: You can instead skip this commit with 'git cherry-pick --skip'. hint: To abort and get back to the state before 'git cherry-pick', hint: run 'git cherry-pick --abort'. hint: Disable this message with 'git config set advice.mergeConflict false'"
"codex/agent-global-operability-gated-backlog-20260605","codex/gov/agents/global-operability-gated-backlog__ISSUE-RECON-007","ISSUE-RECON-007","REQUIERE_DECISION_NORMATIVA","CHERRY_PICK_CONFLICT_ABORTED","1","0","","git cherry-pick --abort ejecutado; no branch creada","abort_exit=0;status=UU .agents/codex/matrices/MATRIX_INDEX.csv | UU .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv | UU .gitignore | ?? .agents/codex/workpapers/branch_inventory_20260608/ | ?? .agents/codex/workpapers/branch_reconciliation_phase1_20260608/","Auto-merging .agents/codex/matrices/MATRIX_INDEX.csv CONFLICT (content): Merge conflict in .agents/codex/matrices/MATRIX_INDEX.csv Auto-merging .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv CONFLICT (content): Merge conflict in .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv Auto-merging .gitignore CONFLICT (content): Merge conflict in .gitignore error: could not apply 7554818... chore(agents): route operability gated backlog hint: After resolving the conflicts, mark them with hint: 'git add/rm <pathspec>', then run hint: 'git cherry-pick --continue'. hint: You can instead skip this commit with 'git cherry-pick --skip'. hint: To abort and get back to the state before 'git cherry-pick', hint: run 'git cherry-pick --abort'. hint: Disable this message with 'git config set advice.mergeConflict false'"
"codex/agent-global-operability-next-lane-execution-20260605","codex/feature/agents/global-operability-next-lane__ISSUE-RECON-008","ISSUE-RECON-008","REQUIERE_DECISION_NORMATIVA","CHERRY_PICK_CONFLICT_ABORTED","1","0","","git cherry-pick --abort ejecutado; no branch creada","abort_exit=0;status=UU .gitignore | ?? .agents/codex/workpapers/branch_inventory_20260608/ | ?? .agents/codex/workpapers/branch_reconciliation_phase1_20260608/","Auto-merging .gitignore CONFLICT (content): Merge conflict in .gitignore error: could not apply b495ad4... feat(agents): execute global operability next lane hint: After resolving the conflicts, mark them with hint: 'git add/rm <pathspec>', then run hint: 'git cherry-pick --continue'. hint: You can instead skip this commit with 'git cherry-pick --skip'. hint: To abort and get back to the state before 'git cherry-pick', hint: run 'git cherry-pick --abort'. hint: Disable this message with 'git config set advice.mergeConflict false'"
"codex/agent-global-operability-semaphore-matrix-20260605","codex/hardening/agents/global-operability-semaphore__ISSUE-RECON-009","ISSUE-RECON-009","REQUIERE_DECISION_NORMATIVA","CHERRY_PICK_CONFLICT_ABORTED","2","0","","git cherry-pick --abort ejecutado; no branch creada","abort_exit=0;status=UU .agents/codex/matrices/MATRIX_INDEX.csv | UU .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv | AA .agents/codex/readbacks/2026-06-05_agent_global_operability_semaphore_matrix_readback.md | UU .gitignore | ?? .agents/codex/workpapers/branch_inventory_20260608/ | ?? .agents/codex/workpapers/branch_reconciliation_phase1_20260608/","Auto-merging .agents/codex/matrices/MATRIX_INDEX.csv CONFLICT (content): Merge conflict in .agents/codex/matrices/MATRIX_INDEX.csv Auto-merging .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv CONFLICT (content): Merge conflict in .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv Auto-merging .agents/codex/readbacks/2026-06-05_agent_global_operability_semaphore_matrix_readback.md CONFLICT (add/add): Merge conflict in .agents/codex/readbacks/2026-06-05_agent_global_operability_semaphore_matrix_readback.md Auto-merging .gitignore CONFLICT (content): Merge conflict in .gitignore error: could not apply efca5f5... chore(agents): add operability semaphore matrix hint: After resolving the conflicts, mark them with hint: 'git add/rm <pathspec>', then run hint: 'git cherry-pick --continue'. hint: You can instead skip this commit with 'git cherry-pick --skip'. hint: To abort and get back to the state before 'git cherry-pick', hint: run 'git cherry-pick --abort'. hint: Disable this message with 'git config set advice.mergeConflict false'"
"codex/post-pr-101-next-lane-selection-20260605","codex/gov/cabina/post-pr101-next-lane-selection__ISSUE-RECON-010","ISSUE-RECON-010","REQUIERE_DECISION_NORMATIVA","CHERRY_PICK_CONFLICT_ABORTED","1","0","","git cherry-pick --abort ejecutado; no branch creada","abort_exit=0;status=UU .gitignore | ?? .agents/codex/workpapers/branch_inventory_20260608/ | ?? .agents/codex/workpapers/branch_reconciliation_phase1_20260608/","Auto-merging .gitignore CONFLICT (content): Merge conflict in .gitignore error: could not apply c7e1854... chore(agents): record post pr101 next lane selection hint: After resolving the conflicts, mark them with hint: 'git add/rm <pathspec>', then run hint: 'git cherry-pick --continue'. hint: You can instead skip this commit with 'git cherry-pick --skip'. hint: To abort and get back to the state before 'git cherry-pick', hint: run 'git cherry-pick --abort'. hint: Disable this message with 'git config set advice.mergeConflict false'"
