"connection_id","repo","file_path","secret_required","secret_status","allowed_storage","blocked_storage","action","stop_condition"
"conn.d_cabina_universal_root.power_platform_admin.0001","universo-rey/cabina-universal-d",".github/workflows/dataverse-drift-detection.yml","yes","SECRET_REQUIRED_EXTERNALIZED","external_secret_store_or_github_environment_secret_only","repo|readback|matrix|logs|prompt","do_not_materialize_secret","secret_detected_or_secret_required_without_externalization"
"conn.d_cabina_universal_root.power_platform_admin.0002","universo-rey/cabina-universal-d",".github/workflows/dataverse-drift-detection.yml","yes","SECRET_REQUIRED_EXTERNALIZED","external_secret_store_or_github_environment_secret_only","repo|readback|matrix|logs|prompt","do_not_materialize_secret","secret_detected_or_secret_required_without_externalization"
"conn.d_cabina_universal_root.power_platform_admin.0003","universo-rey/cabina-universal-d",".github/workflows/dataverse-drift-detection.yml","yes","SECRET_REQUIRED_EXTERNALIZED","external_secret_store_or_github_environment_secret_only","repo|readback|matrix|logs|prompt","do_not_materialize_secret","secret_detected_or_secret_required_without_externalization"
"conn.d_cabina_universal_root.power_platform_admin.0004","universo-rey/cabina-universal-d",".github/workflows/dataverse-drift-detection.yml","yes","SECRET_REQUIRED_EXTERNALIZED","external_secret_store_or_github_environment_secret_only","repo|readback|matrix|logs|prompt","do_not_materialize_secret","secret_detected_or_secret_required_without_externalization"
"conn.d_cabina_universal_root.power_platform_admin.0005","universo-rey/cabina-universal-d",".github/workflows/dataverse-drift-detection.yml","yes","SECRET_REQUIRED_EXTERNALIZED","external_secret_store_or_github_environment_secret_only","repo|readback|matrix|logs|prompt","do_not_materialize_secret","secret_detected_or_secret_required_without_externalization"
"conn.d_cabina_universal_root.power_platform_admin.0006","universo-rey/cabina-universal-d",".github/workflows/dataverse-drift-detection.yml","yes","SECRET_REQUIRED_EXTERNALIZED","external_secret_store_or_github_environment_secret_only","repo|readback|matrix|logs|prompt","do_not_materialize_secret","secret_detected_or_secret_required_without_externalization"
"conn.d_cabina_universal_root.power_platform_admin.0007","universo-rey/cabina-universal-d",".github/workflows/dataverse-drift-detection.yml","yes","SECRET_REQUIRED_EXTERNALIZED","external_secret_store_or_github_environment_secret_only","repo|readback|matrix|logs|prompt","do_not_materialize_secret","secret_detected_or_secret_required_without_externalization"
"conn.d_cabina_universal_root.power_platform_admin.0008","universo-rey/cabina-universal-d",".github/workflows/dataverse-drift-detection.yml","yes","SECRET_REQUIRED_EXTERNALIZED","external_secret_store_or_github_environment_secret_only","repo|readback|matrix|logs|prompt","do_not_materialize_secret","secret_detected_or_secret_required_without_externalization"
"conn.d_cabina_universal_root.power_platform_admin.0009","universo-rey/cabina-universal-d",".github/workflows/dataverse-export-dev.yml","yes","SECRET_REQUIRED_EXTERNALIZED","external_secret_store_or_github_environment_secret_only","repo|readback|matrix|logs|prompt","do_not_materialize_secret","secret_detected_or_secret_required_without_externalization"
"conn.d_cabina_universal_root.power_platform_admin.0010","universo-rey/cabina-universal-d",".github/workflows/dataverse-export-dev.yml","yes","SECRET_REQUIRED_EXTERNALIZED","external_secret_store_or_github_environment_secret_only","repo|readback|matrix|logs|prompt","do_not_materialize_secret","secret_detected_or_secret_required_without_externalization"
"conn.d_cabina_universal_root.power_platform_admin.0011","universo-rey/cabina-universal-d",".github/workflows/dataverse-export-dev.yml","yes","SECRET_REQUIRED_EXTERNALIZED","external_secret_store_or_github_environment_secret_only","repo|readback|matrix|logs|prompt","do_not_materialize_secret","secret_detected_or_secret_required_without_externalization"
"conn.d_cabina_universal_root.power_platform_admin.0012","universo-rey/cabina-universal-d",".github/workflows/dataverse-export-dev.yml","yes","SECRET_REQUIRED_EXTERNALIZED","external_secret_store_or_github_environment_secret_only","repo|readback|matrix|logs|prompt","do_not_materialize_secret","secret_detected_or_secret_required_without_externalization"
"conn.d_cabina_universal_root.power_platform_admin.0013","universo-rey/cabina-universal-d",".github/workflows/dataverse-export-dev.yml","yes","SECRET_REQUIRED_EXTERNALIZED","external_secret_store_or_github_environment_secret_only","repo|readback|matrix|logs|prompt","do_not_materialize_secret","secret_detected_or_secret_required_without_externalization"
"conn.d_cabina_universal_root.power_platform_admin.0014","universo-rey/cabina-universal-d",".github/workflows/dataverse-export-dev.yml","yes","SECRET_REQUIRED_EXTERNALIZED","external_secret_store_or_github_environment_secret_only","repo|readback|matrix|logs|prompt","do_not_materialize_secret","secret_detected_or_secret_required_without_externalization"
"conn.d_cabina_universal_root.power_platform_admin.0015","universo-rey/cabina-universal-d",".github/workflows/dataverse-export-dev.yml","yes","SECRET_REQUIRED_EXTERNALIZED","external_secret_store_or_github_environment_secret_only","repo|readback|matrix|logs|prompt","do_not_materialize_secret","secret_detected_or_secret_required_without_externalization"
"conn.d_cabina_universal_root.power_platform_admin.0016","universo-rey/cabina-universal-d",".github/workflows/dataverse-export-dev.yml","yes","SECRET_REQUIRED_EXTERNALIZED","external_secret_store_or_github_environment_secret_only","repo|readback|matrix|logs|prompt","do_not_materialize_secret","secret_detected_or_secret_required_without_externalization"
"conn.d_cabina_universal_root.power_platform_admin.0017","universo-rey/cabina-universal-d",".github/workflows/dataverse-export-dev.yml","yes","SECRET_REQUIRED_EXTERNALIZED","external_secret_store_or_github_environment_secret_only","repo|readback|matrix|logs|prompt","do_not_materialize_secret","secret_detected_or_secret_required_without_externalization"
"conn.d_cabina_universal_root.power_platform_admin.0018","universo-rey/cabina-universal-d",".github/workflows/dataverse-export-dev.yml","yes","SECRET_REQUIRED_EXTERNALIZED","external_secret_store_or_github_environment_secret_only","repo|readback|matrix|logs|prompt","do_not_materialize_secret","secret_detected_or_secret_required_without_externalization"
"conn.d_cabina_universal_root.power_platform_admin.0019","universo-rey/cabina-universal-d",".github/workflows/dataverse-export-dev.yml","yes","SECRET_REQUIRED_EXTERNALIZED","external_secret_store_or_github_environment_secret_only","repo|readback|matrix|logs|prompt","do_not_materialize_secret","secret_detected_or_secret_required_without_externalization"
"conn.d_cabina_universal_root.power_platform_admin.0020","universo-rey/cabina-universal-d",".github/workflows/dataverse-export-dev.yml","yes","SECRET_REQUIRED_EXTERNALIZED","external_secret_store_or_github_environment_secret_only","repo|readback|matrix|logs|prompt","do_not_materialize_secret","secret_detected_or_secret_required_without_externalization"
"conn.d_cabina_universal_root.power_platform_admin.0021","universo-rey/cabina-universal-d",".github/workflows/dataverse-export-dev.yml","yes","SECRET_REQUIRED_EXTERNALIZED","external_secret_store_or_github_environment_secret_only","repo|readback|matrix|logs|prompt","do_not_materialize_secret","secret_detected_or_secret_required_without_externalization"
