repo_id,repository_full_name,local_path,universe_id,native_repo_policy,cabina_base_repository,cabina_base_role,alignment_mode,owner_agent,repo_runtime_mode,productive_runtime_status,external_agent_status,github_write_status,stop_condition
D_CABINA_UNIVERSAL_ROOT,universo-rey/cabina-universal-d,D:/,ROOT_CONTROL_PLANE,root_wrapper_repo,universo-rey/cabina-universal-d,governance_base_and_repo_index,ROOT_WRAPPER_BASE,rey.control_plane_orchestrator,LOCAL_SYNTHETIC_ALIGNMENT_ONLY,REQUIRES_GOVERNED_ORDER,REQUIRES_GOVERNED_ORDER,GOVERNED_BRANCH_PR_ONLY,production_or_external_agent_without_order
ORGANIZACION,universo-rey/organizacion,D:/01_GOVERNANCE_REGISTRY/10_REPOS/02_ACTIVE/organizacion,ROOT_CONTROL_PLANE,keep_native_repo,universo-rey/cabina-universal-d,governance_base_and_repo_index,GOVERNED_INDEX_ONLY,rey.governance_registrar,LOCAL_SYNTHETIC_ALIGNMENT_ONLY,REQUIRES_GOVERNED_ORDER,REQUIRES_GOVERNED_ORDER,GOVERNED_BRANCH_PR_ONLY,root_repo_absorption_attempt
TORRE_GEMELA_ESCRIBANIA,SeshatSgin/torre-gemela-escribania,D:/10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE/torre-gemela-escribania,ESCRIBANIA,keep_native_repo,universo-rey/cabina-universal-d,governance_base_and_repo_index,GOVERNED_INDEX_ONLY,universe.escribania_tower,LOCAL_SYNTHETIC_ALIGNMENT_ONLY,REQUIRES_GOVERNED_ORDER,REQUIRES_GOVERNED_ORDER,GOVERNED_BRANCH_PR_ONLY,tenant_or_regulated_data_without_order
TGE_AGENTIC_RUNTIME,SeshatSgin/tge-agentic-runtime-control-escribania,D:/10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE/tge-agentic-runtime-control-escribania,ESCRIBANIA,keep_native_repo,universo-rey/cabina-universal-d,governance_base_and_repo_index,GOVERNED_INDEX_ONLY,universe.escribania_tower,LOCAL_SYNTHETIC_ALIGNMENT_ONLY,REQUIRES_GOVERNED_ORDER,REQUIRES_GOVERNED_ORDER,GOVERNED_BRANCH_PR_ONLY,productive_runtime_without_order
SGIN_CUMPLIMIENTO,SeshatSgin/sgin-cumplimiento,D:/10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE/sgin-cumplimiento,ESCRIBANIA,keep_native_repo,universo-rey/cabina-universal-d,governance_base_and_repo_index,GOVERNED_INDEX_ONLY,universe.escribania_tower,LOCAL_SYNTHETIC_ALIGNMENT_ONLY,REQUIRES_GOVERNED_ORDER,REQUIRES_GOVERNED_ORDER,GOVERNED_BRANCH_PR_ONLY,regulated_data_without_order
CDF_SOLUCIONES,SeshatSgin/cdf-soluciones,D:/10_UNIVERSOS/MODO_ON/10_REPOS/02_ACTIVE/cdf-soluciones,MODO_ON,keep_native_repo,universo-rey/cabina-universal-d,governance_base_and_repo_index,GOVERNED_INDEX_ONLY,universe.modo_on_tower,LOCAL_SYNTHETIC_ALIGNMENT_ONLY,REQUIRES_GOVERNED_ORDER,REQUIRES_GOVERNED_ORDER,GOVERNED_BRANCH_PR_ONLY,microsoft_live_without_order
JARA_CONSULTORES,SeshatSgin/jara-consultores,D:/10_UNIVERSOS/MODO_ON/10_REPOS/02_ACTIVE/jara-consultores,MODO_ON,keep_native_repo,universo-rey/cabina-universal-d,governance_base_and_repo_index,GOVERNED_INDEX_ONLY,universe.modo_on_tower,LOCAL_SYNTHETIC_ALIGNMENT_ONLY,REQUIRES_GOVERNED_ORDER,REQUIRES_GOVERNED_ORDER,GOVERNED_BRANCH_PR_ONLY,external_client_surface_without_order
MODO_ON_FOUNDATION,SeshatSgin/modo-on-foundation,D:/10_UNIVERSOS/MODO_ON/10_REPOS/02_ACTIVE/modo-on-foundation,MODO_ON,keep_native_repo,universo-rey/cabina-universal-d,governance_base_and_repo_index,GOVERNED_INDEX_ONLY,universe.modo_on_tower,LOCAL_SYNTHETIC_ALIGNMENT_ONLY,REQUIRES_GOVERNED_ORDER,REQUIRES_GOVERNED_ORDER,GOVERNED_BRANCH_PR_ONLY,provider_runtime_without_order
SDU_CANON,SeshatSgin/sdu-canon,D:/03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon,COURT,keep_native_repo,universo-rey/cabina-universal-d,governance_base_and_repo_index,GOVERNED_INDEX_ONLY,court.sdu_gate,LOCAL_SYNTHETIC_ALIGNMENT_ONLY,REQUIRES_GOVERNED_ORDER,REQUIRES_GOVERNED_ORDER,GOVERNED_BRANCH_PR_ONLY,self_approving_gate
SESHAT_BOOTSTRAP,SeshatSgin/seshat-bootstrap-sdu-cn,D:/03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/seshat-bootstrap-sdu-cn,COURT,keep_native_repo,universo-rey/cabina-universal-d,governance_base_and_repo_index,GOVERNED_INDEX_ONLY,court.seshat_evidence,LOCAL_SYNTHETIC_ALIGNMENT_ONLY,REQUIRES_GOVERNED_ORDER,REQUIRES_GOVERNED_ORDER,GOVERNED_BRANCH_PR_ONLY,evidence_or_agent_live_without_order
