repo_id,repository_full_name,local_path,universe_id,owner_agent,runtime_alignment_purpose,default_skill_refs,default_recipe_refs,default_tool_refs,default_plugin_refs,runtime_mode,github_required,blocked_surfaces,status
D_CABINA_UNIVERSAL_ROOT,universo-rey/cabina-universal-d,D:/,ROOT_CONTROL_PLANE,rey.control_plane_orchestrator,repo root transversal,rey-modo-gobernador-capacidades|matrix-recipe-skill-sync,recipe.repo_universe_alignment_runtime,tool.repo_alignment_runtime,Superpowers|GitHub,LOCAL_SYNTHETIC_ALIGNMENT_ONLY,yes,openai_api_live|microsoft_live|production|permissions|secrets|force_push|merge|remote_agent_persistence,READY_FOR_LOCAL_RUNTIME_ALIGNMENT
ORGANIZACION,universo-rey/organizacion,D:/01_GOVERNANCE_REGISTRY/10_REPOS/02_ACTIVE/organizacion,ROOT_CONTROL_PLANE,rey.governance_registrar,repo rector documental separado,rey-modo-gobernador-capacidades|d-drive-agent-layer-enrichment,recipe.registry_enrichment,tool.csv_registry_check,Superpowers|GitHub,LOCAL_SYNTHETIC_ALIGNMENT_ONLY,yes,openai_api_live|microsoft_live|production|permissions|secrets|force_push|merge|remote_agent_persistence,READY_FOR_LOCAL_RUNTIME_ALIGNMENT
TORRE_GEMELA_ESCRIBANIA,SeshatSgin/torre-gemela-escribania,D:/10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE/torre-gemela-escribania,ESCRIBANIA,universe.escribania_tower,TGE canon y superficie Escribania,sharepoint:sharepoint-site-discovery|rey-modo-gobernador-capacidades,recipe.universe_tower_handoff,tool.surface_order_builder,Superpowers|SharePoint|GitHub,LOCAL_SYNTHETIC_ALIGNMENT_ONLY,yes,openai_api_live|microsoft_live|production|permissions|secrets|force_push|merge|remote_agent_persistence,READY_FOR_LOCAL_RUNTIME_ALIGNMENT
TGE_AGENTIC_RUNTIME,SeshatSgin/tge-agentic-runtime-control-escribania,D:/10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE/tge-agentic-runtime-control-escribania,ESCRIBANIA,universe.escribania_tower,runtime contextual Escribania,tcu-harness-evals-agentes|matrix-recipe-skill-sync,recipe.repo_universe_alignment_runtime,tool.repo_alignment_runtime,Superpowers|OpenAI Developers|GitHub,LOCAL_SYNTHETIC_ALIGNMENT_ONLY,yes,openai_api_live|microsoft_live|production|permissions|secrets|force_push|merge|remote_agent_persistence,READY_FOR_LOCAL_RUNTIME_ALIGNMENT
SGIN_CUMPLIMIENTO,SeshatSgin/sgin-cumplimiento,D:/10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE/sgin-cumplimiento,ESCRIBANIA,universe.escribania_tower,cumplimiento Escribania,governed-readback-closeout|rey-modo-evidencia-riesgo-handoff,recipe.evidence_acta_closeout,tool.readback_builder,Superpowers|GitHub,LOCAL_SYNTHETIC_ALIGNMENT_ONLY,yes,openai_api_live|microsoft_live|production|permissions|secrets|force_push|merge|remote_agent_persistence,READY_FOR_LOCAL_RUNTIME_ALIGNMENT
CDF_SOLUCIONES,SeshatSgin/cdf-soluciones,D:/10_UNIVERSOS/MODO_ON/10_REPOS/02_ACTIVE/cdf-soluciones,MODO_ON,universe.modo_on_tower,proveedor CDF Microsoft y agentes,tcu-normalizador-sistema-modo-on|sharepoint:sharepoint,recipe.universe_tower_handoff,tool.provider_boundary_check,Superpowers|SharePoint|GitHub,LOCAL_SYNTHETIC_ALIGNMENT_ONLY,yes,openai_api_live|microsoft_live|production|permissions|secrets|force_push|merge|remote_agent_persistence,READY_FOR_LOCAL_RUNTIME_ALIGNMENT
JARA_CONSULTORES,SeshatSgin/jara-consultores,D:/10_UNIVERSOS/MODO_ON/10_REPOS/02_ACTIVE/jara-consultores,MODO_ON,universe.modo_on_tower,proveedor consultivo Jara,tcu-normalizador-sistema-modo-on|governed-readback-closeout,recipe.universe_tower_handoff,tool.provider_boundary_check,Superpowers|GitHub,LOCAL_SYNTHETIC_ALIGNMENT_ONLY,yes,openai_api_live|microsoft_live|production|permissions|secrets|force_push|merge|remote_agent_persistence,READY_FOR_LOCAL_RUNTIME_ALIGNMENT
MODO_ON_FOUNDATION,SeshatSgin/modo-on-foundation,D:/10_UNIVERSOS/MODO_ON/10_REPOS/02_ACTIVE/modo-on-foundation,MODO_ON,universe.modo_on_tower,foundation Modo ON,tcu-normalizador-sistema-modo-on|rey-modo-gobernador-capacidades,recipe.universe_tower_handoff,tool.provider_boundary_check,Superpowers|GitHub,LOCAL_SYNTHETIC_ALIGNMENT_ONLY,yes,openai_api_live|microsoft_live|production|permissions|secrets|force_push|merge|remote_agent_persistence,READY_FOR_LOCAL_RUNTIME_ALIGNMENT
SDU_CANON,SeshatSgin/sdu-canon,D:/03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon,COURT,court.sdu_gate,canon SDU,sdu-ejecutor-gates|repo-agent-tool-governance,recipe.gate_decision_packet,tool.stop_condition_check,Superpowers|GitHub,LOCAL_SYNTHETIC_ALIGNMENT_ONLY,yes,openai_api_live|microsoft_live|production|permissions|secrets|force_push|merge|remote_agent_persistence,READY_FOR_LOCAL_RUNTIME_ALIGNMENT
SESHAT_BOOTSTRAP,SeshatSgin/seshat-bootstrap-sdu-cn,D:/03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/seshat-bootstrap-sdu-cn,COURT,court.seshat_evidence,bootstrap Seshat SDU CN,rey-modo-evidencia-riesgo-handoff|tcu-harness-evals-agentes,recipe.governed_readback_closeout,tool.readback_builder,Superpowers|GitHub,LOCAL_SYNTHETIC_ALIGNMENT_ONLY,yes,openai_api_live|microsoft_live|production|permissions|secrets|force_push|merge|remote_agent_persistence,READY_FOR_LOCAL_RUNTIME_ALIGNMENT
