repo_id,repository_full_name,expected_local_path,clone_status,remote_url,head,branch,repo_scoped_codex_config,global_codex_config_scope,blocked_topology,status
D_CABINA_UNIVERSAL_ROOT,universo-rey/cabina-universal-d,C:/Users/enzo1/Documents/GitHub/cabina-universal-d,EXISTING,https://github.com/universo-rey/cabina-universal-d.git,a4737c3,codex/reconcile-c-root-effective-cabina-20260605,.codex/environments/environment.toml,C:/Users/enzo1/.codex,nested_git|submodule_gitlink|global_codex_state_in_repo|d_root_active,ACTIVE_CANONICAL_ROOT
ORGANIZACION,universo-rey/organizacion,C:/Users/enzo1/Documents/GitHub/organizacion,CLONED,https://github.com/universo-rey/organizacion.git,9a8a025,main,repo-native:.codex,C:/Users/enzo1/.codex,nested_git|submodule_gitlink|global_codex_state_in_repo|d_root_active,ACTIVE_SIBLING_REPO
TORRE_GEMELA_ESCRIBANIA,SeshatSgin/torre-gemela-escribania,C:/Users/enzo1/Documents/GitHub/torre-gemela-escribania,CLONED,https://github.com/SeshatSgin/torre-gemela-escribania.git,bb8300e,main,repo-native:.codex,C:/Users/enzo1/.codex,nested_git|submodule_gitlink|global_codex_state_in_repo|d_root_active,ACTIVE_SIBLING_REPO
TGE_AGENTIC_RUNTIME,SeshatSgin/tge-agentic-runtime-control-escribania,C:/Users/enzo1/Documents/GitHub/tge-agentic-runtime-control-escribania,CLONED,https://github.com/SeshatSgin/tge-agentic-runtime-control-escribania.git,fe0e456,main,repo-native:.codex,C:/Users/enzo1/.codex,nested_git|submodule_gitlink|global_codex_state_in_repo|d_root_active,ACTIVE_SIBLING_REPO
SGIN_CUMPLIMIENTO,SeshatSgin/sgin-cumplimiento,C:/Users/enzo1/Documents/GitHub/sgin-cumplimiento,CLONED,https://github.com/SeshatSgin/sgin-cumplimiento.git,443dd4b,main,repo-native:.codex,C:/Users/enzo1/.codex,nested_git|submodule_gitlink|global_codex_state_in_repo|d_root_active,ACTIVE_SIBLING_REPO
CDF_SOLUCIONES,SeshatSgin/cdf-soluciones,C:/Users/enzo1/Documents/GitHub/cdf-soluciones,CLONED,https://github.com/SeshatSgin/cdf-soluciones.git,211a2de,main,repo-native:.codex,C:/Users/enzo1/.codex,nested_git|submodule_gitlink|global_codex_state_in_repo|d_root_active,ACTIVE_SIBLING_REPO
JARA_CONSULTORES,SeshatSgin/jara-consultores,C:/Users/enzo1/Documents/GitHub/jara-consultores,CLONED,https://github.com/SeshatSgin/jara-consultores.git,96733d7,main,repo-native:.codex,C:/Users/enzo1/.codex,nested_git|submodule_gitlink|global_codex_state_in_repo|d_root_active,ACTIVE_SIBLING_REPO
MODO_ON_FOUNDATION,SeshatSgin/modo-on-foundation,C:/Users/enzo1/Documents/GitHub/modo-on-foundation,CLONED,https://github.com/SeshatSgin/modo-on-foundation.git,ad34af7,main,repo-native:.codex,C:/Users/enzo1/.codex,nested_git|submodule_gitlink|global_codex_state_in_repo|d_root_active,ACTIVE_SIBLING_REPO
SDU_CANON,SeshatSgin/sdu-canon,C:/Users/enzo1/Documents/GitHub/sdu-canon,CLONED,https://github.com/SeshatSgin/sdu-canon.git,79f4c7b,main,repo-native:.codex,C:/Users/enzo1/.codex,nested_git|submodule_gitlink|global_codex_state_in_repo|d_root_active,ACTIVE_SIBLING_REPO
SESHAT_BOOTSTRAP,SeshatSgin/seshat-bootstrap-sdu-cn,C:/Users/enzo1/Documents/GitHub/seshat-bootstrap-sdu-cn,CLONED,https://github.com/SeshatSgin/seshat-bootstrap-sdu-cn.git,5aa81e4,main,repo-native:.codex,C:/Users/enzo1/.codex,nested_git|submodule_gitlink|global_codex_state_in_repo|d_root_active,ACTIVE_SIBLING_REPO
SGIN,universo-rey/Sgin,C:/Users/enzo1/Documents/GitHub/Sgin,CLONED,https://github.com/universo-rey/Sgin.git,cfb494b,main,repo-native:.codex,C:/Users/enzo1/.codex,nested_git|submodule_gitlink|global_codex_state_in_repo|d_root_active,ACTIVE_SIBLING_REPO
TCU_AGENTIC_RUNTIME,SeshatSgin/tcu-agentic-runtime-control,C:/Users/enzo1/Documents/GitHub/tcu-agentic-runtime-control,CLONED,https://github.com/SeshatSgin/tcu-agentic-runtime-control.git,608c371,main,repo-native:.codex,C:/Users/enzo1/.codex,nested_git|submodule_gitlink|global_codex_state_in_repo|d_root_active,ACTIVE_SIBLING_REPO
MICROSOFT_AGENTS_GOVERNED_LAB,universo-rey/microsoft-agents-governed-lab,C:/Users/enzo1/Documents/GitHub/microsoft-agents-governed-lab,CLONED,https://github.com/universo-rey/microsoft-agents-governed-lab.git,382c406,main,repo-native:.codex,C:/Users/enzo1/.codex,nested_git|submodule_gitlink|global_codex_state_in_repo|d_root_active,ACTIVE_SIBLING_REPO
