"asset_class","asset_id","owner_agent","authority_level","governing_matrix","required_recipe","required_tool","evidence","validator","coverage_status","stop_condition"
"repo","D_CABINA_UNIVERSAL_ROOT","rey.control_plane_orchestrator","00_ROUTER","D:\.agents\codex\matrices\REPO_GOVERNANCE_ASSIGNMENT_MATRIX.csv","recipe.repo_agent_tool_governance","tool.git_status_readonly","root_repo_readback","tool.local_validate_agent_layer","covered","root_repo_absorption_attempt"
"repo","organizacion","rey.governance_registrar","02_REGISTRO_Y_CARTOGRAFIA","D:\.agents\codex\matrices\REPO_GOVERNANCE_ASSIGNMENT_MATRIX.csv","recipe.repo_agent_tool_governance","tool.git_status_readonly","repo_readback","tool.local_validate_agent_layer","covered","dirty_scope_unclassified"
"repo","tcu-agentic-runtime-control","court.openai_dispatcher","03_CORTE_EJECUTORA","D:\.agents\codex\matrices\REPO_GOVERNANCE_ASSIGNMENT_MATRIX.csv","recipe.repo_agent_tool_governance","tool.git_status_readonly","runtime_readback","tool.local_validate_agent_layer","covered","api_or_remote_agent_requested"
"repo","sdu-canon","rey.authority_canonist","01_AUTORIDAD_Y_GATES","D:\.agents\codex\matrices\REPO_GOVERNANCE_ASSIGNMENT_MATRIX.csv","recipe.repo_agent_tool_governance","tool.git_status_readonly","canon_readback","tool.local_validate_agent_layer","covered","canon_change_requested"
"repo","seshat-bootstrap-sdu-cn","court.seshat_evidence","03_CORTE_EJECUTORA","D:\.agents\codex\matrices\REPO_GOVERNANCE_ASSIGNMENT_MATRIX.csv","recipe.repo_agent_tool_governance","tool.git_status_readonly","evidence_readback","tool.local_validate_agent_layer","covered","live_activation_requested"
"repo","Sgin","tech.reference_librarian","05_SOPORTE_TECNICO","D:\.agents\codex\matrices\REPO_GOVERNANCE_ASSIGNMENT_MATRIX.csv","recipe.repo_agent_tool_governance","tool.git_status_readonly","reference_readback","tool.local_validate_agent_layer","covered","regulated_payload_requested"
"repo","tge-agentic-runtime-control-escribania","universe.escribania_tower","04_TORRES_DE_UNIVERSO","D:\.agents\codex\matrices\REPO_GOVERNANCE_ASSIGNMENT_MATRIX.csv","recipe.repo_agent_tool_governance","tool.git_status_readonly","tge_runtime_readback","tool.local_validate_agent_layer","covered","live_surface_requested"
"repo","torre-gemela-escribania","universe.escribania_tower","04_TORRES_DE_UNIVERSO","D:\.agents\codex\matrices\REPO_GOVERNANCE_ASSIGNMENT_MATRIX.csv","recipe.repo_agent_tool_governance","tool.git_status_readonly","tge_canon_readback","tool.local_validate_agent_layer","covered","tenant_or_git_write_requested"
"repo","sgin-cumplimiento","universe.escribania_tower","04_TORRES_DE_UNIVERSO","D:\.agents\codex\matrices\REPO_GOVERNANCE_ASSIGNMENT_MATRIX.csv","recipe.repo_agent_tool_governance","tool.git_status_readonly","sgin_cumplimiento_readback","tool.local_validate_agent_layer","covered","regulated_data_requested"
"repo","modo-on-foundation","universe.modo_on_tower","04_TORRES_DE_UNIVERSO","D:\.agents\codex\matrices\REPO_GOVERNANCE_ASSIGNMENT_MATRIX.csv","recipe.repo_agent_tool_governance","tool.git_status_readonly","modo_on_readback","tool.local_validate_agent_layer","covered","cross_universe_runtime_requested"
"repo","cdf-soluciones","universe.modo_on_tower","04_TORRES_DE_UNIVERSO","D:\.agents\codex\matrices\REPO_GOVERNANCE_ASSIGNMENT_MATRIX.csv","recipe.repo_agent_tool_governance","tool.git_status_readonly","cdf_readback","tool.local_validate_agent_layer","covered","provider_write_requested"
"repo","jara-consultores","universe.modo_on_tower","04_TORRES_DE_UNIVERSO","D:\.agents\codex\matrices\REPO_GOVERNANCE_ASSIGNMENT_MATRIX.csv","recipe.repo_agent_tool_governance","tool.git_status_readonly","jara_readback","tool.local_validate_agent_layer","covered","provider_write_requested"
"agent","rey.control_plane_orchestrator","rey.control_plane_orchestrator","00_ROUTER","D:\.agents\codex\matrices\AGENT_GOVERNANCE_MATRIX.csv","recipe.repo_agent_tool_governance","tool.local_validate_agent_layer","routing_readback","tool.local_validate_agent_layer","covered","agent_without_authority_or_escalation"
