"execution_id","scope_type","target_id","repository_full_name","local_path","owner_agent","reviewer_agent","execution_mode","codex_cloud_environment_label","codex_cloud_status","discovery_skill_when_needed","capability_preflight","allowed_autonomous_actions","requires_order_for","blocked_actions","required_recipe","required_tool","evidence","validator","status","stop_condition","chain_policy","discovery_policy","authority_policy","evidence_policy","missing_requirement_policy"
"autonomous.agent.rey.control_plane_orchestrator","agent","rey.control_plane_orchestrator","NO_APLICA",".agents\codex\agents\00_ROUTER\rey.control_plane_orchestrator.md","rey.control_plane_orchestrator","rey.frontier_guardian","local_task_scoped_agent","NO_APLICA","NO_APLICA_LOCAL_AGENT","tcu-descubridor-capacidades",".agents/codex/matrices/CAPABILITY_USE_HARDENING_MATRIX.csv|.agents/codex/tools/local_validate_capability_use_hardening.ps1","read_selected_scope|prepare_plan|edit_assigned_workpaper|run_local_validator|emit_readback|execute_assigned_READ_with_binding|execute_assigned_LOW_with_write_controls|prepare_HIGH_order_when_required","production|permission_change|tenant_identity_change|secret_exposure_materialization_or_rotation|destructive_effect|open_ended_cost|unbounded_bulk|regulated_professional_decision|external_material_communication|scope_escalation|merge_main","secret_materialization|regulated_data_dump|execution_without_required_capability_or_binding|high_effect_without_explicit_authorization","recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.matrix_recipe_skill_sync","tool.parallel_dispatch_policy_check|tool.local_validate_capability_use_hardening|tool.local_validate_autonomous_agent_execution",".agents/skills/tcu-descubridor-capacidades/SKILL.md|.agents/codex/agents.json|.agents/codex/matrices/AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv",".agents/codex/tools/local_validate_autonomous_agent_execution.ps1","ACTIVE_LOCAL_TASK_SCOPED","secret_detected|operation_requirement_unresolved","APPLICABLE_COMPONENTS_ONLY","UNKNOWN_AMBIGUOUS_OR_NEW_ONLY","HIGH_ONLY","OPERATION_RESULT_ONLY","RESOLUTION_REQUIRED_AFFECTED_OPERATION_TIER_PRESERVED"
"autonomous.agent.rey.frontier_guardian","agent","rey.frontier_guardian","NO_APLICA",".agents\codex\agents\01_AUTORIDAD_Y_GATES\rey.frontier_guardian.md","rey.frontier_guardian","court.seshat_evidence","local_task_scoped_agent","NO_APLICA","NO_APLICA_LOCAL_AGENT","tcu-descubridor-capacidades",".agents/codex/matrices/CAPABILITY_USE_HARDENING_MATRIX.csv|.agents/codex/tools/local_validate_capability_use_hardening.ps1","read_selected_scope|prepare_plan|edit_assigned_workpaper|run_local_validator|emit_readback|execute_assigned_READ_with_binding|execute_assigned_LOW_with_write_controls|prepare_HIGH_order_when_required","production|permission_change|tenant_identity_change|secret_exposure_materialization_or_rotation|destructive_effect|open_ended_cost|unbounded_bulk|regulated_professional_decision|external_material_communication|scope_escalation|merge_main","secret_materialization|regulated_data_dump|execution_without_required_capability_or_binding|high_effect_without_explicit_authorization","recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.matrix_recipe_skill_sync","tool.parallel_dispatch_policy_check|tool.local_validate_capability_use_hardening|tool.local_validate_autonomous_agent_execution",".agents/skills/tcu-descubridor-capacidades/SKILL.md|.agents/codex/agents.json|.agents/codex/matrices/AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv",".agents/codex/tools/local_validate_autonomous_agent_execution.ps1","ACTIVE_LOCAL_TASK_SCOPED","secret_detected|operation_requirement_unresolved","APPLICABLE_COMPONENTS_ONLY","UNKNOWN_AMBIGUOUS_OR_NEW_ONLY","HIGH_ONLY","OPERATION_RESULT_ONLY","RESOLUTION_REQUIRED_AFFECTED_OPERATION_TIER_PRESERVED"
"autonomous.agent.rey.governance_registrar","agent","rey.governance_registrar","NO_APLICA",".agents\codex\agents\02_REGISTRO_Y_CARTOGRAFIA\rey.governance_registrar.md","rey.governance_registrar","rey.frontier_guardian","local_task_scoped_agent","NO_APLICA","NO_APLICA_LOCAL_AGENT","tcu-descubridor-capacidades",".agents/codex/matrices/CAPABILITY_USE_HARDENING_MATRIX.csv|.agents/codex/tools/local_validate_capability_use_hardening.ps1","read_selected_scope|prepare_plan|edit_assigned_workpaper|run_local_validator|emit_readback|execute_assigned_READ_with_binding|execute_assigned_LOW_with_write_controls|prepare_HIGH_order_when_required","production|permission_change|tenant_identity_change|secret_exposure_materialization_or_rotation|destructive_effect|open_ended_cost|unbounded_bulk|regulated_professional_decision|external_material_communication|scope_escalation|merge_main","secret_materialization|regulated_data_dump|execution_without_required_capability_or_binding|high_effect_without_explicit_authorization","recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.matrix_recipe_skill_sync","tool.parallel_dispatch_policy_check|tool.local_validate_capability_use_hardening|tool.local_validate_autonomous_agent_execution",".agents/skills/tcu-descubridor-capacidades/SKILL.md|.agents/codex/agents.json|.agents/codex/matrices/AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv",".agents/codex/tools/local_validate_autonomous_agent_execution.ps1","ACTIVE_LOCAL_TASK_SCOPED","secret_detected|operation_requirement_unresolved","APPLICABLE_COMPONENTS_ONLY","UNKNOWN_AMBIGUOUS_OR_NEW_ONLY","HIGH_ONLY","OPERATION_RESULT_ONLY","RESOLUTION_REQUIRED_AFFECTED_OPERATION_TIER_PRESERVED"
"autonomous.agent.rey.authority_canonist","agent","rey.authority_canonist","NO_APLICA",".agents\codex\agents\01_AUTORIDAD_Y_GATES\rey.authority_canonist.md","rey.authority_canonist","rey.frontier_guardian","local_task_scoped_agent","NO_APLICA","NO_APLICA_LOCAL_AGENT","tcu-descubridor-capacidades",".agents/codex/matrices/CAPABILITY_USE_HARDENING_MATRIX.csv|.agents/codex/tools/local_validate_capability_use_hardening.ps1","read_selected_scope|prepare_plan|edit_assigned_workpaper|run_local_validator|emit_readback|execute_assigned_READ_with_binding|execute_assigned_LOW_with_write_controls|prepare_HIGH_order_when_required","production|permission_change|tenant_identity_change|secret_exposure_materialization_or_rotation|destructive_effect|open_ended_cost|unbounded_bulk|regulated_professional_decision|external_material_communication|scope_escalation|merge_main","secret_materialization|regulated_data_dump|execution_without_required_capability_or_binding|high_effect_without_explicit_authorization","recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.matrix_recipe_skill_sync","tool.parallel_dispatch_policy_check|tool.local_validate_capability_use_hardening|tool.local_validate_autonomous_agent_execution",".agents/skills/tcu-descubridor-capacidades/SKILL.md|.agents/codex/agents.json|.agents/codex/matrices/AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv",".agents/codex/tools/local_validate_autonomous_agent_execution.ps1","ACTIVE_LOCAL_TASK_SCOPED","secret_detected|operation_requirement_unresolved","APPLICABLE_COMPONENTS_ONLY","UNKNOWN_AMBIGUOUS_OR_NEW_ONLY","HIGH_ONLY","OPERATION_RESULT_ONLY","RESOLUTION_REQUIRED_AFFECTED_OPERATION_TIER_PRESERVED"
"autonomous.agent.rey.repo_cartographer","agent","rey.repo_cartographer","NO_APLICA",".agents\codex\agents\02_REGISTRO_Y_CARTOGRAFIA\rey.repo_cartographer.md","rey.repo_cartographer","rey.frontier_guardian","local_task_scoped_agent","NO_APLICA","NO_APLICA_LOCAL_AGENT","tcu-descubridor-capacidades",".agents/codex/matrices/CAPABILITY_USE_HARDENING_MATRIX.csv|.agents/codex/tools/local_validate_capability_use_hardening.ps1","read_selected_scope|prepare_plan|edit_assigned_workpaper|run_local_validator|emit_readback|execute_assigned_READ_with_binding|execute_assigned_LOW_with_write_controls|prepare_HIGH_order_when_required","production|permission_change|tenant_identity_change|secret_exposure_materialization_or_rotation|destructive_effect|open_ended_cost|unbounded_bulk|regulated_professional_decision|external_material_communication|scope_escalation|merge_main","secret_materialization|regulated_data_dump|execution_without_required_capability_or_binding|high_effect_without_explicit_authorization","recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.matrix_recipe_skill_sync","tool.parallel_dispatch_policy_check|tool.local_validate_capability_use_hardening|tool.local_validate_autonomous_agent_execution",".agents/skills/tcu-descubridor-capacidades/SKILL.md|.agents/codex/agents.json|.agents/codex/matrices/AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv",".agents/codex/tools/local_validate_autonomous_agent_execution.ps1","ACTIVE_LOCAL_TASK_SCOPED","secret_detected|operation_requirement_unresolved","APPLICABLE_COMPONENTS_ONLY","UNKNOWN_AMBIGUOUS_OR_NEW_ONLY","HIGH_ONLY","OPERATION_RESULT_ONLY","RESOLUTION_REQUIRED_AFFECTED_OPERATION_TIER_PRESERVED"
"autonomous.agent.court.openai_dispatcher","agent","court.openai_dispatcher","NO_APLICA",".agents\codex\agents\03_CORTE_EJECUTORA\court.openai_dispatcher.md","court.openai_dispatcher","rey.frontier_guardian","local_task_scoped_agent","NO_APLICA","NO_APLICA_LOCAL_AGENT","tcu-descubridor-capacidades",".agents/codex/matrices/CAPABILITY_USE_HARDENING_MATRIX.csv|.agents/codex/tools/local_validate_capability_use_hardening.ps1","read_selected_scope|prepare_plan|edit_assigned_workpaper|run_local_validator|emit_readback|execute_assigned_READ_with_binding|execute_assigned_LOW_with_write_controls|prepare_HIGH_order_when_required","production|permission_change|tenant_identity_change|secret_exposure_materialization_or_rotation|destructive_effect|open_ended_cost|unbounded_bulk|regulated_professional_decision|external_material_communication|scope_escalation|merge_main","secret_materialization|regulated_data_dump|execution_without_required_capability_or_binding|high_effect_without_explicit_authorization","recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.matrix_recipe_skill_sync","tool.parallel_dispatch_policy_check|tool.local_validate_capability_use_hardening|tool.local_validate_autonomous_agent_execution",".agents/skills/tcu-descubridor-capacidades/SKILL.md|.agents/codex/agents.json|.agents/codex/matrices/AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv",".agents/codex/tools/local_validate_autonomous_agent_execution.ps1","ACTIVE_LOCAL_TASK_SCOPED","secret_detected|operation_requirement_unresolved","APPLICABLE_COMPONENTS_ONLY","UNKNOWN_AMBIGUOUS_OR_NEW_ONLY","HIGH_ONLY","OPERATION_RESULT_ONLY","RESOLUTION_REQUIRED_AFFECTED_OPERATION_TIER_PRESERVED"
"autonomous.agent.universe.escribania_tower","agent","universe.escribania_tower","NO_APLICA",".agents\codex\agents\04_TORRES_DE_UNIVERSO\universe.escribania_tower.md","universe.escribania_tower","rey.frontier_guardian","local_task_scoped_agent","NO_APLICA","NO_APLICA_LOCAL_AGENT","tcu-descubridor-capacidades",".agents/codex/matrices/CAPABILITY_USE_HARDENING_MATRIX.csv|.agents/codex/tools/local_validate_capability_use_hardening.ps1","read_selected_scope|prepare_plan|edit_assigned_workpaper|run_local_validator|emit_readback|execute_assigned_READ_with_binding|execute_assigned_LOW_with_write_controls|prepare_HIGH_order_when_required","production|permission_change|tenant_identity_change|secret_exposure_materialization_or_rotation|destructive_effect|open_ended_cost|unbounded_bulk|regulated_professional_decision|external_material_communication|scope_escalation|merge_main","secret_materialization|regulated_data_dump|execution_without_required_capability_or_binding|high_effect_without_explicit_authorization","recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.matrix_recipe_skill_sync","tool.parallel_dispatch_policy_check|tool.local_validate_capability_use_hardening|tool.local_validate_autonomous_agent_execution",".agents/skills/tcu-descubridor-capacidades/SKILL.md|.agents/codex/agents.json|.agents/codex/matrices/AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv",".agents/codex/tools/local_validate_autonomous_agent_execution.ps1","ACTIVE_LOCAL_TASK_SCOPED","secret_detected|operation_requirement_unresolved","APPLICABLE_COMPONENTS_ONLY","UNKNOWN_AMBIGUOUS_OR_NEW_ONLY","HIGH_ONLY","OPERATION_RESULT_ONLY","RESOLUTION_REQUIRED_AFFECTED_OPERATION_TIER_PRESERVED"
"autonomous.agent.universe.modo_on_tower","agent","universe.modo_on_tower","NO_APLICA",".agents\codex\agents\04_TORRES_DE_UNIVERSO\universe.modo_on_tower.md","universe.modo_on_tower","rey.frontier_guardian","local_task_scoped_agent","NO_APLICA","NO_APLICA_LOCAL_AGENT","tcu-descubridor-capacidades",".agents/codex/matrices/CAPABILITY_USE_HARDENING_MATRIX.csv|.agents/codex/tools/local_validate_capability_use_hardening.ps1","read_selected_scope|prepare_plan|edit_assigned_workpaper|run_local_validator|emit_readback|execute_assigned_READ_with_binding|execute_assigned_LOW_with_write_controls|prepare_HIGH_order_when_required","production|permission_change|tenant_identity_change|secret_exposure_materialization_or_rotation|destructive_effect|open_ended_cost|unbounded_bulk|regulated_professional_decision|external_material_communication|scope_escalation|merge_main","secret_materialization|regulated_data_dump|execution_without_required_capability_or_binding|high_effect_without_explicit_authorization","recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.matrix_recipe_skill_sync","tool.parallel_dispatch_policy_check|tool.local_validate_capability_use_hardening|tool.local_validate_autonomous_agent_execution",".agents/skills/tcu-descubridor-capacidades/SKILL.md|.agents/codex/agents.json|.agents/codex/matrices/AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv",".agents/codex/tools/local_validate_autonomous_agent_execution.ps1","ACTIVE_LOCAL_TASK_SCOPED","secret_detected|operation_requirement_unresolved","APPLICABLE_COMPONENTS_ONLY","UNKNOWN_AMBIGUOUS_OR_NEW_ONLY","HIGH_ONLY","OPERATION_RESULT_ONLY","RESOLUTION_REQUIRED_AFFECTED_OPERATION_TIER_PRESERVED"
"autonomous.agent.court.seshat_evidence","agent","court.seshat_evidence","NO_APLICA",".agents\codex\agents\03_CORTE_EJECUTORA\court.seshat_evidence.md","court.seshat_evidence","rey.frontier_guardian","local_task_scoped_agent","NO_APLICA","NO_APLICA_LOCAL_AGENT","tcu-descubridor-capacidades",".agents/codex/matrices/CAPABILITY_USE_HARDENING_MATRIX.csv|.agents/codex/tools/local_validate_capability_use_hardening.ps1","read_selected_scope|prepare_plan|edit_assigned_workpaper|run_local_validator|emit_readback|execute_assigned_READ_with_binding|execute_assigned_LOW_with_write_controls|prepare_HIGH_order_when_required","production|permission_change|tenant_identity_change|secret_exposure_materialization_or_rotation|destructive_effect|open_ended_cost|unbounded_bulk|regulated_professional_decision|external_material_communication|scope_escalation|merge_main","secret_materialization|regulated_data_dump|execution_without_required_capability_or_binding|high_effect_without_explicit_authorization","recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.matrix_recipe_skill_sync","tool.parallel_dispatch_policy_check|tool.local_validate_capability_use_hardening|tool.local_validate_autonomous_agent_execution",".agents/skills/tcu-descubridor-capacidades/SKILL.md|.agents/codex/agents.json|.agents/codex/matrices/AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv",".agents/codex/tools/local_validate_autonomous_agent_execution.ps1","ACTIVE_LOCAL_TASK_SCOPED","secret_detected|operation_requirement_unresolved","APPLICABLE_COMPONENTS_ONLY","UNKNOWN_AMBIGUOUS_OR_NEW_ONLY","HIGH_ONLY","OPERATION_RESULT_ONLY","RESOLUTION_REQUIRED_AFFECTED_OPERATION_TIER_PRESERVED"
"autonomous.agent.court.sdu_gate","agent","court.sdu_gate","NO_APLICA",".agents\codex\agents\01_AUTORIDAD_Y_GATES\court.sdu_gate.md","court.sdu_gate","rey.frontier_guardian","local_task_scoped_agent","NO_APLICA","NO_APLICA_LOCAL_AGENT","tcu-descubridor-capacidades",".agents/codex/matrices/CAPABILITY_USE_HARDENING_MATRIX.csv|.agents/codex/tools/local_validate_capability_use_hardening.ps1","read_selected_scope|prepare_plan|edit_assigned_workpaper|run_local_validator|emit_readback|execute_assigned_READ_with_binding|execute_assigned_LOW_with_write_controls|prepare_HIGH_order_when_required","production|permission_change|tenant_identity_change|secret_exposure_materialization_or_rotation|destructive_effect|open_ended_cost|unbounded_bulk|regulated_professional_decision|external_material_communication|scope_escalation|merge_main","secret_materialization|regulated_data_dump|execution_without_required_capability_or_binding|high_effect_without_explicit_authorization","recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.matrix_recipe_skill_sync","tool.parallel_dispatch_policy_check|tool.local_validate_capability_use_hardening|tool.local_validate_autonomous_agent_execution",".agents/skills/tcu-descubridor-capacidades/SKILL.md|.agents/codex/agents.json|.agents/codex/matrices/AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv",".agents/codex/tools/local_validate_autonomous_agent_execution.ps1","ACTIVE_LOCAL_TASK_SCOPED","secret_detected|operation_requirement_unresolved","APPLICABLE_COMPONENTS_ONLY","UNKNOWN_AMBIGUOUS_OR_NEW_ONLY","HIGH_ONLY","OPERATION_RESULT_ONLY","RESOLUTION_REQUIRED_AFFECTED_OPERATION_TIER_PRESERVED"
