"surface_id","universe","microsoft_surface","owner_agent","reviewer_agent","agent","skill","recipe","tool","plugin","read_scope","write_scope","allowed_without_order","live_read_gate","live_write_gate","evidence","validator","risk","rollback","stop_condition","status"
"teams.chat","GLOBAL","Teams chat 1:1 and group chat","rey.frontier_guardian","court.sdu_gate","court.seshat_evidence","teams:teams","recipe.governed_order_preparation","tool.local_validate_teams_governance","Teams","local policy and order draft only","bounded_write_by_exact_binding_and_risk_tier","classify requested chat scope|draft order|prepare sanitized evidence fields","read_direct_with_authenticated_capability_exact_binding_target_minimization_evidence","low_by_default_high_positive_trigger_requires_explicit_authorization","sanitized scope readback and validator JSON",".agents/codex/tools/local_validate_teams_governance.ps1","raw message bodies or regulated chat export","revert local governance artifacts only","operation_requirement_unresolved|regulated_data_boundary_unclear|secret_detected","ACTIVE_LOCAL_PREP"
"teams.channel_messages","GLOBAL","Teams channel messages","rey.frontier_guardian","court.sdu_gate","court.seshat_evidence","teams:teams-channel-summarization","recipe.governed_order_preparation","tool.local_validate_teams_governance","Teams","local policy and channel-read order draft only","bounded_write_by_exact_binding_and_risk_tier","classify team channel and selected window without live access","read_direct_with_authenticated_capability_exact_binding_target_minimization_evidence","low_by_default_high_positive_trigger_requires_explicit_authorization","sanitized channel scope counts and validator JSON",".agents/codex/tools/local_validate_teams_governance.ps1","bulk channel history or confidential content","revert local governance artifacts only","operation_requirement_unresolved|regulated_data_boundary_unclear|secret_detected","ACTIVE_LOCAL_PREP"
"teams.team_channel_inventory","ESCRIBANIA","Teams and channels inventory","universe.escribania_tower","court.sdu_gate","rey.frontier_guardian","teams:teams","recipe.governed_order_preparation","tool.local_validate_teams_governance","Teams","10_UNIVERSOS/ESCRIBANIA local routing and order draft","bounded_write_by_exact_binding_and_risk_tier","prepare Escribania Teams inventory order and owner route","read_direct_with_authenticated_capability_exact_binding_target_minimization_evidence","low_by_default_high_positive_trigger_requires_explicit_authorization","sanitized inventory matrix and validator JSON",".agents/codex/tools/local_validate_teams_governance.ps1","tenant-wide inventory without selected scope","revert local governance artifacts only","operation_requirement_unresolved|order_packet_missing_required_fields","ACTIVE_LOCAL_PREP"
"teams.membership_permissions","ESCRIBANIA","Members owners guests permissions","universe.escribania_tower","rey.frontier_guardian","court.sdu_gate","teams:teams","recipe.governed_order_preparation","tool.local_validate_teams_governance","Teams|Microsoft Graph direct tenant admin","local order draft and permission boundary only","bounded_write_by_exact_binding_and_risk_tier","prepare permission boundary and stop before live","read_direct_with_authenticated_capability_exact_binding_target_minimization_evidence","permission_or_admin_mutation_is_high_requires_explicit_authorization","sanitized permission boundary and reviewer decision",".agents/codex/tools/local_validate_teams_governance.ps1","permission change or owner exposure","revert local governance artifacts only","operation_requirement_unresolved|production_requested_without_explicit_authorization|order_packet_missing_required_fields","ACTIVE_LOCAL_PREP"
"teams.apps_connectors_webhooks","GLOBAL","Apps bots connectors webhooks","rey.frontier_guardian","court.sdu_gate","tech.reference_librarian","teams:teams|mcp-builder","recipe.governed_order_preparation","tool.local_validate_teams_governance","Teams|Microsoft Graph direct tenant admin","local connector policy and NO_DISPONIBLE classification","bounded_write_by_exact_binding_and_risk_tier","classify plugin connector availability and owner","read_direct_with_authenticated_capability_exact_binding_target_minimization_evidence","low_by_default_high_positive_trigger_requires_explicit_authorization","connector boundary readback and validator JSON",".agents/codex/tools/local_validate_teams_governance.ps1","connector write or unmanaged bot","revert local governance artifacts only","operation_requirement_unresolved|tool_without_surface_boundary|production_requested_without_explicit_authorization","ACTIVE_LOCAL_PREP"
"teams.files_sharepoint_bridge","GLOBAL","Teams files and SharePoint tabs","court.sdu_gate","rey.frontier_guardian","universe.escribania_tower|universe.modo_on_tower","teams:teams|sharepoint:sharepoint-site-discovery","recipe.governed_order_preparation","tool.local_validate_teams_governance","Teams|SharePoint","local routing between Teams and SharePoint order drafts","bounded_write_by_exact_binding_and_risk_tier","map file/tab boundary without opening live files","read_direct_with_authenticated_capability_exact_binding_target_minimization_evidence","low_by_default_high_positive_trigger_requires_explicit_authorization","sanitized file boundary not content dump",".agents/codex/tools/local_validate_teams_governance.ps1","regulated files or SharePoint write through Teams","revert local governance artifacts only","operation_requirement_unresolved|regulated_data_boundary_unclear|secret_detected","ACTIVE_LOCAL_PREP"
"teams.planner","GLOBAL","Planner tasks linked to Teams","court.sdu_gate","rey.frontier_guardian","universe.modo_on_tower","teams:teams-planner-task-management","recipe.governed_order_preparation","tool.local_validate_teams_governance","Teams|Microsoft Graph direct tenant admin","local task-flow order draft only","bounded_write_by_exact_binding_and_risk_tier","prepare Planner scope owner and evidence fields","read_direct_with_authenticated_capability_exact_binding_target_minimization_evidence","low_by_default_high_positive_trigger_requires_explicit_authorization","sanitized task-flow matrix and validator JSON",".agents/codex/tools/local_validate_teams_governance.ps1","task mutation or assignment without authority","revert local governance artifacts only","operation_requirement_unresolved|production_requested_without_explicit_authorization","ACTIVE_LOCAL_PREP"
"teams.meetings_calendar","GLOBAL","Teams meetings and Outlook calendar bridge","court.sdu_gate","rey.frontier_guardian","court.seshat_evidence","teams:teams|outlook-calendar:outlook-calendar","recipe.governed_order_preparation","tool.local_validate_teams_governance","Teams|Outlook Calendar","local meeting governance order draft only","bounded_write_by_exact_binding_and_risk_tier","prepare meeting context boundary and stop before live","read_direct_with_authenticated_capability_exact_binding_target_minimization_evidence","low_by_default_high_positive_trigger_requires_explicit_authorization","sanitized meeting boundary readback",".agents/codex/tools/local_validate_teams_governance.ps1","calendar write or broad personal context","revert local governance artifacts only","operation_requirement_unresolved|regulated_data_boundary_unclear","ACTIVE_LOCAL_PREP"
"teams.notifications","GLOBAL","Teams notifications mentions activity","rey.frontier_guardian","court.seshat_evidence","court.sdu_gate","teams:teams-notification-triage","recipe.governed_order_preparation","tool.local_validate_teams_governance","Teams","local notification triage order draft only","bounded_write_by_exact_binding_and_risk_tier","prepare triage criteria and evidence fields","read_direct_with_authenticated_capability_exact_binding_target_minimization_evidence","separate_explicit_order_required_before mark read reply or suppress","sanitized notification triage readback",".agents/codex/tools/local_validate_teams_governance.ps1","unbounded personal activity sweep","revert local governance artifacts only","operation_requirement_unresolved|regulated_data_boundary_unclear","ACTIVE_LOCAL_PREP"
"teams.graph_fallback","GLOBAL","Microsoft Graph route for Teams","rey.frontier_guardian","court.sdu_gate","tech.reference_librarian","teams:teams|sharepoint:sharepoint","recipe.governed_order_preparation","tool.local_validate_teams_governance","Microsoft Graph direct tenant admin","local NO_DISPONIBLE direct admin classification","bounded_write_by_exact_binding_and_risk_tier","mark direct tenant admin as NO_DISPONIBLE unless connector approved","read_direct_with_authenticated_capability_exact_binding_target_minimization_evidence","permission_or_admin_mutation_is_high_requires_explicit_authorization_before_graph_write","technical boundary note and validator JSON",".agents/codex/tools/local_validate_teams_governance.ps1","Graph tenant permission or broad directory read","revert local governance artifacts only","operation_requirement_unresolved|tool_without_surface_boundary|production_requested_without_explicit_authorization","ACTIVE_LOCAL_PREP"
