"canonical_id","seed_batch_id","source_system","source_path","status","surface","provider","connection_type","tenant_scopes","gate_required","stop_condition","highest_risk"
"surface.agents_sdk","20260603_connection_seed_dev_v1","connection_registry_local","matrices/connections/CONNECTION_SURFACE_INVENTORY.csv","seed_now","Agents SDK","OpenAI","Agents SDK","ROOT_CONTROL_PLANE|ESCRIBANIA|COURT_SDU_SESHAT","GATE_OPENAI_LIVE_GOVERNED_ORDER","connection_gate_missing","critical"
"surface.azure_openai","20260603_connection_seed_dev_v1","connection_registry_local","matrices/connections/CONNECTION_SURFACE_INVENTORY.csv","seed_now","Azure OpenAI","Microsoft/OpenAI","Azure OpenAI","ESCRIBANIA","GATE_OPENAI_LIVE_GOVERNED_ORDER","connection_gate_missing","critical"
"surface.codex_connector","20260603_connection_seed_dev_v1","connection_registry_local","matrices/connections/CONNECTION_SURFACE_INVENTORY.csv","seed_now","Codex Connector","Codex","Codex Connector","ROOT_CONTROL_PLANE|ESCRIBANIA|COURT_SDU_SESHAT","GATE_CONNECTOR_REGISTRY_NO_SECRET","connection_gate_missing","critical"
"surface.entra_id","20260603_connection_seed_dev_v1","connection_registry_local","matrices/connections/CONNECTION_SURFACE_INVENTORY.csv","seed_now","Entra ID","Microsoft","Entra ID","ROOT_CONTROL_PLANE|ESCRIBANIA|COURT_SDU_SESHAT","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","connection_gate_missing","critical"
"surface.github_actions","20260603_connection_seed_dev_v1","connection_registry_local","matrices/connections/CONNECTION_SURFACE_INVENTORY.csv","seed_now","GitHub Actions","GitHub","GitHub Actions","ROOT_CONTROL_PLANE|ESCRIBANIA","GATE_GITHUB_REPO_SCOPED","connection_gate_missing","critical"
"surface.mcp_server","20260603_connection_seed_dev_v1","connection_registry_local","matrices/connections/CONNECTION_SURFACE_INVENTORY.csv","seed_now","MCP Server","Local/Codex","MCP Server","ROOT_CONTROL_PLANE|ESCRIBANIA","GATE_CONNECTOR_REGISTRY_NO_SECRET","connection_gate_missing","critical"
"surface.microsoft_365_admin","20260603_connection_seed_dev_v1","connection_registry_local","matrices/connections/CONNECTION_SURFACE_INVENTORY.csv","seed_now","Microsoft 365 Admin","Microsoft","Microsoft 365 Admin","ROOT_CONTROL_PLANE|ESCRIBANIA|COURT_SDU_SESHAT","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","connection_gate_missing","critical"
"surface.microsoft_graph","20260603_connection_seed_dev_v1","connection_registry_local","matrices/connections/CONNECTION_SURFACE_INVENTORY.csv","seed_now","Microsoft Graph","Microsoft","Microsoft Graph","ROOT_CONTROL_PLANE|ESCRIBANIA|COURT_SDU_SESHAT","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","connection_gate_missing","critical"
"surface.openai_api","20260603_connection_seed_dev_v1","connection_registry_local","matrices/connections/CONNECTION_SURFACE_INVENTORY.csv","seed_now","OpenAI API","OpenAI","OpenAI API","ROOT_CONTROL_PLANE|ESCRIBANIA|COURT_SDU_SESHAT","GATE_OPENAI_LIVE_GOVERNED_ORDER","connection_gate_missing","critical"
"surface.planner","20260603_connection_seed_dev_v1","connection_registry_local","matrices/connections/CONNECTION_SURFACE_INVENTORY.csv","seed_now","Planner","Microsoft","Planner","ROOT_CONTROL_PLANE|ESCRIBANIA|COURT_SDU_SESHAT","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","connection_gate_missing","critical"
"surface.power_platform_admin","20260603_connection_seed_dev_v1","connection_registry_local","matrices/connections/CONNECTION_SURFACE_INVENTORY.csv","seed_now","Power Platform Admin","Microsoft","Power Platform Admin","ROOT_CONTROL_PLANE|ESCRIBANIA|COURT_SDU_SESHAT","GATE_POWER_PLATFORM_DEV_TARGET_EXPLICIT","connection_gate_missing","critical"
"surface.semantic_kernel","20260603_connection_seed_dev_v1","connection_registry_local","matrices/connections/CONNECTION_SURFACE_INVENTORY.csv","seed_now","Semantic Kernel","Microsoft","Semantic Kernel","ESCRIBANIA","GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED","connection_gate_missing","low"
"surface.sharepoint","20260603_connection_seed_dev_v1","connection_registry_local","matrices/connections/CONNECTION_SURFACE_INVENTORY.csv","seed_now","SharePoint","Microsoft","SharePoint","ROOT_CONTROL_PLANE|ESCRIBANIA|COURT_SDU_SESHAT","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","connection_gate_missing","critical"
"surface.teams","20260603_connection_seed_dev_v1","connection_registry_local","matrices/connections/CONNECTION_SURFACE_INVENTORY.csv","seed_now","Teams","Microsoft","Teams","ROOT_CONTROL_PLANE|ESCRIBANIA|COURT_SDU_SESHAT","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","connection_gate_missing","critical"
"surface.unknown_por_definir","20260603_connection_seed_dev_v1","connection_registry_local","matrices/connections/CONNECTION_SURFACE_INVENTORY.csv","seed_now","Unknown / POR_DEFINIR","[POR DEFINIR]","Unknown / POR_DEFINIR","ROOT_CONTROL_PLANE|ESCRIBANIA|COURT_SDU_SESHAT","GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED","connection_gate_missing","critical"
