"canonical_id","seed_batch_id","source_system","source_path","status","connection_canonical_id","secret_required","secret_status","gate_required","stop_condition","allowed_storage","blocked_storage"
"secret_boundary.conn_canon_000003","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/00_CONTEXT/CHAT_CONTEXT.md","seed_now","conn_canon_000003","yes","externalized_required","GATE_OPENAI_LIVE_GOVERNED_ORDER","secret_detected_or_secret_required_without_externalization","external_secret_store_or_github_environment_secret_only","repo|readback|matrix|logs|prompt"
"secret_boundary.conn_canon_000004","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/00_CONTEXT/CURRENT_STATE.md","seed_now","conn_canon_000004","yes","externalized_required","GATE_POWER_PLATFORM_DEV_TARGET_EXPLICIT","secret_detected_or_secret_required_without_externalization","external_secret_store_or_github_environment_secret_only","repo|readback|matrix|logs|prompt"
"secret_boundary.conn_canon_000005","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/00_CONTEXT/CURRENT_STATE.md","seed_now","conn_canon_000005","no","NO_SECRET_IN_REPO_DETECTED","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","NO_APLICA","external_secret_store_or_github_environment_secret_only","repo|readback|matrix|logs|prompt"
"secret_boundary.conn_canon_000006","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/00_CONTEXT/SDU_DIVERGENCE_RECONCILIATION_APPLIED.md","seed_now","conn_canon_000006","yes","externalized_required","GATE_OPENAI_LIVE_GOVERNED_ORDER","secret_detected_or_secret_required_without_externalization","external_secret_store_or_github_environment_secret_only","repo|readback|matrix|logs|prompt"
"secret_boundary.conn_canon_000007","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/00_CONTEXT/SDU_DIVERGENCE_RECONCILIATION_APPLIED.md","seed_now","conn_canon_000007","yes","externalized_required","GATE_POWER_PLATFORM_DEV_TARGET_EXPLICIT","secret_detected_or_secret_required_without_externalization","external_secret_store_or_github_environment_secret_only","repo|readback|matrix|logs|prompt"
"secret_boundary.conn_canon_000008","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/00_CONTEXT/SDU_DIVERGENCE_RECONCILIATION_APPLIED.md","seed_now","conn_canon_000008","no","NO_SECRET_IN_REPO_DETECTED","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","NO_APLICA","external_secret_store_or_github_environment_secret_only","repo|readback|matrix|logs|prompt"
"secret_boundary.conn_canon_000009","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/00_CONTEXT/SDU_KNOWLEDGE_DIVERGENCE_UNIFIED_PAGE.md","seed_now","conn_canon_000009","yes","externalized_required","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","secret_detected_or_secret_required_without_externalization","external_secret_store_or_github_environment_secret_only","repo|readback|matrix|logs|prompt"
"secret_boundary.conn_canon_000010","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/00_CONTEXT/SDU_KNOWLEDGE_DIVERGENCE_UNIFIED_PAGE.md","seed_now","conn_canon_000010","yes","externalized_required","GATE_OPENAI_LIVE_GOVERNED_ORDER","secret_detected_or_secret_required_without_externalization","external_secret_store_or_github_environment_secret_only","repo|readback|matrix|logs|prompt"
"secret_boundary.conn_canon_000011","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/00_CONTEXT/SDU_KNOWLEDGE_DIVERGENCE_UNIFIED_PAGE.md","seed_now","conn_canon_000011","yes","externalized_required","GATE_POWER_PLATFORM_DEV_TARGET_EXPLICIT","secret_detected_or_secret_required_without_externalization","external_secret_store_or_github_environment_secret_only","repo|readback|matrix|logs|prompt"
"secret_boundary.conn_canon_000012","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/00_CONTEXT/SDU_KNOWLEDGE_DIVERGENCE_UNIFIED_PAGE.md","seed_now","conn_canon_000012","no","NO_SECRET_IN_REPO_DETECTED","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","NO_APLICA","external_secret_store_or_github_environment_secret_only","repo|readback|matrix|logs|prompt"
"secret_boundary.conn_canon_000013","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/00_CONTEXT/START_HERE.md","seed_now","conn_canon_000013","yes","externalized_required","GATE_OPENAI_LIVE_GOVERNED_ORDER","secret_detected_or_secret_required_without_externalization","external_secret_store_or_github_environment_secret_only","repo|readback|matrix|logs|prompt"
"secret_boundary.conn_canon_000014","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/08_EVIDENCIA/2026-05-24_GATE_SDU_DIVERGENCE_RECONCILIATION_PROPAGATION/00_READBACK.md","seed_now","conn_canon_000014","yes","externalized_required","GATE_OPENAI_LIVE_GOVERNED_ORDER","secret_detected_or_secret_required_without_externalization","external_secret_store_or_github_environment_secret_only","repo|readback|matrix|logs|prompt"
"secret_boundary.conn_canon_000015","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/08_EVIDENCIA/2026-05-24_GATE_SDU_DIVERGENCE_RECONCILIATION_PROPAGATION/00_READBACK.md","seed_now","conn_canon_000015","yes","externalized_required","GATE_POWER_PLATFORM_DEV_TARGET_EXPLICIT","secret_detected_or_secret_required_without_externalization","external_secret_store_or_github_environment_secret_only","repo|readback|matrix|logs|prompt"
