"elemento","tipo","problema","accion_recomendada","prioridad"
"CURRENT_STATE.md/AGENTS.md/MANIFEST.yaml","DRIFT","canon textual sigue en PR #132 mientras main real esta en HEAD 9651568 post PR #138","PR minimo de reconciliacion textual a PR #138 si el operador autoriza write","ALTA"
"workpapers 20260608 untracked","INCONSISTENTE","evidencia local existe pero no esta versionada ni publicada a memoria viva","decidir versionar workpapers clave o exportar snapshot saneado a SharePoint/SGIN","ALTA"
"production_tenant_activation_20260608","SIN_GOBIERNO","pedido de write productivo queda sin target exacto/listas/internal names/rollback/postcheck","preparar gate itemizado con target, owner, identidad, rollback y postcheck antes de escribir","ALTA"
"Power Platform/Dataverse lane","INCONSISTENTE","carril existe pero environment exacto de produccion no esta seleccionado; pac activo no equivale a prod","separar HUBDesarrollo/dev/default/produccion y fijar target antes de apply/import/write","ALTA"
"Microsoft live write","OK","habilitado gobernado puede confundirse con permiso abierto","mantener wording ENABLED_GOVERNED_GATED_NOT_EXECUTED y bloquear writes sin objeto exacto","ALTA"
"AAC_NATIVE_AGENTS vs CABINA_GOVERNANCE_AGENTS","OK","riesgo historico de confundir agentes nativos del tablero con gobierno Cabina","mantener matrices separadas y usar Cabina como autoridad; AAC como equipo operativo nativo","MEDIA"
"VSI/AAC vs Control de Agentes de Cabina vs cola sitio web","OK","tres superficies fueron confundidas en lecturas anteriores","preservar boundary: VSI/AAC tablero madre, Control auxiliar, cola web externa gateada","MEDIA"
"repos relacionados dirty","INCONSISTENTE","TGE, Seshat bootstrap y organizacion tienen ramas/drafts no pertenecientes al root","no stagear desde root; abrir carriles repo-nativos si esos cambios entran en alcance","MEDIA"
"Codex Cloud environments","INCONSISTENTE","algunos environments estan confirmados por label/READY, otros pueden quedar label-only/pending","no tratarlos como apply-ready; usar solo read-only/diff-no-apply hasta gate","MEDIA"
"remote branch closeout evidence","OK","closeout ya ejecuto deletes gobernados y podria reabrirse innecesariamente","no reabrir limpieza salvo nueva decision; conservar rollback matrix","BAJA"
"D:\ legacy path references","OK","referencias historicas pueden inducir operaciones en D","mantener C repo-local como root operativo y D como legacy/read-only","BAJA"
"Tool declarations vs callable tools","INCONSISTENTE","matrices declaran tools como multi_agent_v1/aac-direct pero no todas son callable desde este runtime","marcar NO_DISPONIBLE cuando aplique y usar ruta local segura","MEDIA"
"SharePoint connector vs m365 CLI","INCONSISTENTE","SharePoint read disponible, m365 list enumeration tuvo timeout en preflight productivo","preferir connector/read-only para evidencia y aislar troubleshooting m365 CLI","MEDIA"
"S-6.1 vs S-6.2..S-6.5","OK","semantica historica confundia pending con ejecutado local","preservar S-6.1 como drafted/revisada, S-6.2..S-6.5 como ejecutadas localmente","MEDIA"
"vsi.agent.task.037","OK","fila live podia leerse como permiso abierto/smoke repetible","mantenerla como historica/sanitizada","MEDIA"
"agent/direct MCP writes","SIN_GOBIERNO","write directo solo es seguro con target, owner, rollback, postcheck y gate","no ejecutar aac_write_artifact_gated sin contrato completo","ALTA"
"SharePoint/Planner live production docs","INCONSISTENTE","documentos pueden sugerir readiness mayor que el gate real","normalizar a precheck/readiness, no activation-ready, hasta objeto exacto y postcheck","ALTA"
