phase,action,owner_agent,reviewer_agent,deliverable,allowed_now,blocked_until_gate,validator,stop_condition
F1,inventariar_34_agentes_blueprint,court.thot_schema,court.seshat_evidence,CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_TAXONOMY.csv,yes,no_repo_write,.agents/codex/tools/local_validate_parallel_order_governance.ps1,no_cross_cabina_write_without_target_matrix
F1,clasificar_taxonomia_local,court.thot_schema,court.seshat_evidence,CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_TAXONOMY.csv,yes,no_repo_write,.agents/codex/tools/local_validate_parallel_order_governance.ps1,no_cross_cabina_write_without_target_matrix
F2,mapear_a_familias_existentes,court.thot_schema,rey.frontier_guardian,CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION.csv,yes,no_agent_creation,.agents/codex/tools/local_validate_capability_use_hardening.ps1,target_identity_ambiguous
F2,asignar_estado_por_agente,court.thot_schema,court.sdu_gate,CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION.csv,yes,no_runtime_activation,.agents/codex/tools/local_validate_capability_use_hardening.ps1,runtime_activation_without_gate
F3,crear_matriz_agente_schema_gate,court.thot_schema,court.seshat_evidence,CODEX_EVOLUTIONARY_AGENT_SCHEMA_GATE_MATRIX.csv,yes,no_dataverse_write,dataverse_metadata_only_validator_when_available,candidate_count_not_one
F3,asignar_schema_table_queue_gate,court.thot_schema,court.sdu_gate,CODEX_EVOLUTIONARY_AGENT_SCHEMA_GATE_MATRIX.csv,yes,no_queue_processing,dataverse_metadata_only_validator_when_available,wrong_environment_or_default
F4,enriquecer_workers_dataverse_metadata_only,court.thot_schema,court.seshat_evidence,CODEX_EVOLUTIONARY_DATAVERSE_WORKER_COMPATIBILITY_MATRIX.csv,yes,no_live_apply,local_validate_backreference_runtime_closure.ps1,candidate_count_not_one
F4,clasificar_cabinas_por_estado_worker,rey.repo_cartographer,rey.frontier_guardian,CODEX_EVOLUTIONARY_DATAVERSE_WORKER_COMPATIBILITY_MATRIX.csv,yes,no_cross_cabina_write,.agents/codex/tools/local_validate_parallel_order_governance.ps1,no_cross_cabina_write_without_target_matrix
F5,separar_A_F_de_G_runtime,court.sdu_gate,rey.frontier_guardian,CODEX_EVOLUTIONARY_RUNTIME_AND_DISTRIBUTION_GATE_PACKET.md,yes,no_runtime_activation,.agents/codex/tools/local_validate_order_packets.ps1,runtime_gate_missing
F5,preparar_target_matrix_por_cabina,rey.repo_cartographer,court.seshat_evidence,CODEX_EVOLUTIONARY_RUNTIME_AND_DISTRIBUTION_GATE_PACKET.md,yes,no_repo_write,.agents/codex/tools/local_validate_order_packets.ps1,no_cross_cabina_write_without_target_matrix
F5,preparar_gate_dataverse_DEV_si_aplica,court.sdu_gate,rey.frontier_guardian,CODEX_EVOLUTIONARY_RUNTIME_AND_DISTRIBUTION_GATE_PACKET.md,yes,no_dataverse_live,dataverse_metadata_only_validator_when_available,wrong_environment_or_default
F5,preparar_readback_decision,court.seshat_evidence,codex.workspace_guardian,CODEX_EVOLUTIONARY_DECISION_READBACK.md,yes,no_push_or_pr,.agents/codex/tools/local_validate_parallel_order_governance.ps1,postcheck_missing
