blueprint_agent,plane,cabina_family,schema_table,queue,gate,stop_condition,decision,risk,owner_agent,reviewer_agent,target_required,candidate_count_required,rollback_required,postcheck_required,evidence_path,readback_path,source_artifact,sanitization_status,evidence_hash,retention_scope,notes
order-intake,operation,rey.control_plane_orchestrator,mon_sdu_validation_gate,NO_QUEUE_METADATA_ONLY,GATE_ORDER_PACKET_INTAKE,order_packet_missing_required_fields|surface_or_tenant_ambiguous,MAP_TO_EXISTING_AGENT,low,rey.control_plane_orchestrator,court.seshat_evidence,YES,NO,YES,YES,TBD,TBD,CODEX_AGENT_NETWORK_MATRIX.csv,REQUIRED_NOT_ATTACHED,TBD,LOCAL_WORKPAPER,normalizes raw order into governed order packet without dispatch queue until fields complete
intent-classifier,operation,court.thot_schema,sdu_agent,NO_QUEUE_METADATA_ONLY,GATE_INTENT_CLASSIFICATION,intent_classification_missing|taxonomy_unmapped,MAP_TO_EXISTING_AGENT,low,court.thot_schema,court.sdu_gate,NO,NO,NO,YES,TBD,TBD,CODEX_AGENT_NETWORK_MATRIX.csv,REQUIRED_NOT_ATTACHED,TBD,LOCAL_WORKPAPER,classifies intent domain and task type as local metadata
risk-arbiter,operation,rey.frontier_guardian,mon_sdu_validation_gate,NO_QUEUE_GATE_ONLY,GATE_LIVE_RISK_ARBITRATION,secret_detected|live_surface_detected|production_unapproved|regulated_data_scope_ambiguous|rollback_missing|postcheck_missing,MAP_TO_EXISTING_AGENT,high,rey.frontier_guardian,court.sdu_gate,YES,NO,YES,YES,TBD,TBD,CODEX_AGENT_NETWORK_MATRIX.csv,REQUIRED_NOT_ATTACHED,TBD,LOCAL_WORKPAPER,risk privilege and sensitive data decision with cumulative stops
context-router,operation,rey.control_plane_orchestrator,mon_sdu_agent_connection_mapping,NO_QUEUE_METADATA_ONLY,GATE_CONTEXT_ROUTING_RESOLUTION,context_route_ambiguous|surface_or_tenant_ambiguous|target_identity_ambiguous,MAP_TO_EXISTING_AGENT,medium,rey.control_plane_orchestrator,rey.frontier_guardian,YES,YES,YES,YES,TBD,TBD,CODEX_AGENT_NETWORK_MATRIX.csv,REQUIRED_NOT_ATTACHED,TBD,LOCAL_WORKPAPER,routes context only after exact surface is resolved
authority-resolver,operation,court.sdu_gate,mon_sdu_validation_gate,NO_QUEUE_GATE_ONLY,GATE_AUTHORITY_CANON_SOURCE_RESOLUTION,authority_source_missing|authority_conflict_unresolved,MAP_TO_EXISTING_AGENT,high,court.sdu_gate,rey.frontier_guardian,YES,NO,YES,YES,TBD,TBD,CODEX_AGENT_NETWORK_MATRIX.csv,REQUIRED_NOT_ATTACHED,TBD,LOCAL_WORKPAPER,resolves authority before read execute or proposal
task-graph-builder,operation,court.thot_schema,sdu_agent,NO_QUEUE_METADATA_ONLY,GATE_TASK_GRAPH_RECONCILIATION,task_graph_missing_dependencies|dependency_graph_unbounded,MAP_TO_EXISTING_AGENT,medium,court.thot_schema,codex.workspace_guardian,NO,NO,NO,YES,TBD,TBD,CODEX_AGENT_NETWORK_MATRIX.csv,REQUIRED_NOT_ATTACHED,TBD,LOCAL_WORKPAPER,builds atomic task graph as local metadata
capability-selector,operation,court.thot_schema,mon_sdu_agent_connection_mapping,NO_QUEUE_METADATA_ONLY,GATE_CAPABILITY_SELECTION,capability_use_preflight_missing|skill_without_catalog_or_assignment,MAP_TO_EXISTING_AGENT,medium,court.thot_schema,rey.frontier_guardian,YES,NO,YES,YES,TBD,TBD,CODEX_AGENT_NETWORK_MATRIX.csv,REQUIRED_NOT_ATTACHED,TBD,LOCAL_WORKPAPER,selects skills tools recipes and agents as capability mapping not identity
workspace-router,operation,codex.workspace_guardian,sdu_agent,NO_QUEUE_METADATA_ONLY,GATE_WORKSPACE_TARGET_RESOLUTION,workspace_target_ambiguous|path_outside_allowed_roots|nested_repo_boundary_unmapped|d_drive_legacy_write_attempt,MAP_TO_EXISTING_AGENT,medium,codex.workspace_guardian,rey.frontier_guardian,YES,NO,YES,YES,TBD,TBD,CODEX_AGENT_NETWORK_MATRIX.csv,REQUIRED_NOT_ATTACHED,TBD,LOCAL_WORKPAPER,assigns permitted workspace and blocks legacy or nested repo ambiguity
parallel-agent-dispatcher,operation,rey.control_plane_orchestrator,mon_sdu_agent_connection_mapping,SDU.Agent.Dispatch.Queue,GATE_PARALLEL_ORDER_GOVERNANCE,parallel_lane_without_validator|lock_key_missing|candidate_count_not_one|target_identity_ambiguous,MAP_TO_EXISTING_AGENT,medium,rey.control_plane_orchestrator,rey.frontier_guardian,YES,YES,YES,YES,TBD,TBD,CODEX_AGENT_NETWORK_MATRIX.csv,REQUIRED_NOT_ATTACHED,TBD,LOCAL_WORKPAPER,dispatch queue is reference only until lock key scopes validator and exact item exist
dependency-checker,operation,codex.workspace_guardian,mon_sdu_validation_gate,NO_QUEUE_GATE_ONLY,GATE_WORKSPACE_DEPENDENCY_PREFLIGHT,dependency_or_permission_missing|validator_unavailable|admin_required_without_gate|live_tool_auth_ambiguous,MAP_TO_EXISTING_AGENT,medium,codex.workspace_guardian,court.sdu_gate,YES,NO,YES,YES,TBD,TBD,CODEX_AGENT_NETWORK_MATRIX.csv,REQUIRED_NOT_ATTACHED,TBD,LOCAL_WORKPAPER,checks prereqs paths modules permissions and auth ambiguity
