"branch_canonica","matriz","skill_id","normalization"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/matrices/LOCAL_SKILL_CATALOG.csv","rey-modo-evidencia-riesgo-handoff","path_to_c_root_relative;validator_to_existing_tool_id"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/matrices/LOCAL_SKILL_CATALOG.csv","rey-modo-gobernador-capacidades","path_to_c_root_relative;validator_to_existing_tool_id"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/matrices/LOCAL_SKILL_CATALOG.csv","tcu-desarrollo-con-subagentes","path_to_c_root_relative;validator_to_existing_tool_id"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/matrices/LOCAL_SKILL_CATALOG.csv","tcu-redactor-planes-operativos","path_to_c_root_relative;validator_to_existing_tool_id"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/matrices/LOCAL_SKILL_CATALOG.csv","sdu-ejecutor-gates","path_to_c_root_relative;validator_to_existing_tool_id"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/matrices/LOCAL_SKILL_CATALOG.csv","tcu-harness-evals-agentes","path_to_c_root_relative;validator_to_existing_tool_id"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/matrices/LOCAL_SKILL_CATALOG.csv","tcu-normalizador-sistema-modo-on","path_to_c_root_relative;validator_to_existing_tool_id"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/matrices/LOCAL_SKILL_CATALOG.csv","tcu-planificador-con-archivos","path_to_c_root_relative;validator_to_existing_tool_id"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/matrices/LOCAL_SKILL_CATALOG.csv","skill-judge","path_to_c_root_relative;validator_to_existing_tool_id"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/matrices/LOCAL_SKILL_CATALOG.csv","cabina-github-plugin-adapter","path_to_c_root_relative;validator_to_existing_tool_id"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/matrices/LOCAL_SKILL_CATALOG.csv","cabina-teams-plugin-adapter","path_to_c_root_relative;validator_to_existing_tool_id"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/matrices/LOCAL_SKILL_CATALOG.csv","cabina-sharepoint-plugin-adapter","path_to_c_root_relative;validator_to_existing_tool_id"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/matrices/LOCAL_SKILL_CATALOG.csv","cabina-document-plugin-adapter","path_to_c_root_relative;validator_to_existing_tool_id"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/matrices/LOCAL_SKILL_CATALOG.csv","cabina-superpowers-methodology-adapter","path_to_c_root_relative;validator_to_existing_tool_id"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv","rey-modo-evidencia-riesgo-handoff","path_to_c_root_relative;validator_to_existing_repo_tool"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv","rey-modo-gobernador-capacidades","path_to_c_root_relative;validator_to_existing_repo_tool"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv","tcu-desarrollo-con-subagentes","path_to_c_root_relative;validator_to_existing_repo_tool"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv","tcu-redactor-planes-operativos","path_to_c_root_relative;validator_to_existing_repo_tool"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv","sdu-ejecutor-gates","path_to_c_root_relative;validator_to_existing_repo_tool"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv","tcu-harness-evals-agentes","path_to_c_root_relative;validator_to_existing_repo_tool"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv","tcu-normalizador-sistema-modo-on","path_to_c_root_relative;validator_to_existing_repo_tool"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv","tcu-planificador-con-archivos","path_to_c_root_relative;validator_to_existing_repo_tool"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv","skill-judge","path_to_c_root_relative;validator_to_existing_repo_tool"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv","cabina-github-plugin-adapter","path_to_c_root_relative;validator_to_existing_repo_tool"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv","cabina-teams-plugin-adapter","path_to_c_root_relative;validator_to_existing_repo_tool"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv","cabina-sharepoint-plugin-adapter","path_to_c_root_relative;validator_to_existing_repo_tool"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv","cabina-document-plugin-adapter","path_to_c_root_relative;validator_to_existing_repo_tool"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv","cabina-superpowers-methodology-adapter","path_to_c_root_relative;validator_to_existing_repo_tool"
