"branch_canonica","archivo","grupo_semantico","rol_del_artefacto","conflicto_detectado","decision_preliminar"
"codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001",".agents/codex/maps/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_FRAMEWORK_20260605.md","GRUPO_B_MATRICES_ESTRUCTURALES","mapa_operativo","CHANGED_NON_CONFLICT_OR_NOT_IN_CONFLICT_STATUS","CONSERVAR_MAIN"
"codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001",".agents/codex/maps/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_ORG_CHART_20260605.md","GRUPO_B_MATRICES_ESTRUCTURALES","mapa_operativo","CHANGED_NON_CONFLICT_OR_NOT_IN_CONFLICT_STATUS","CONSERVAR_MAIN"
"codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001",".agents/codex/maps/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_SDU_SEARCH_SELECTION_PLAN_20260605.md","GRUPO_B_MATRICES_ESTRUCTURALES","mapa_operativo","CHANGED_NON_CONFLICT_OR_NOT_IN_CONFLICT_STATUS","CONSERVAR_MAIN"
"codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001",".agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_DECISION_MATRIX_20260605.csv","GRUPO_B_MATRICES_ESTRUCTURALES","matriz_operativa_o_indice","CHANGED_NON_CONFLICT_OR_NOT_IN_CONFLICT_STATUS","CONSERVAR_MAIN"
"codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001",".agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_FINDINGS_20260605.csv","GRUPO_B_MATRICES_ESTRUCTURALES","matriz_operativa_o_indice","CHANGED_NON_CONFLICT_OR_NOT_IN_CONFLICT_STATUS","CONSERVAR_MAIN"
"codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001",".agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_FRAMEWORK_20260605.csv","GRUPO_B_MATRICES_ESTRUCTURALES","matriz_operativa_o_indice","CHANGED_NON_CONFLICT_OR_NOT_IN_CONFLICT_STATUS","CONSERVAR_MAIN"
"codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001",".agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_ORG_CHART_20260605.csv","GRUPO_B_MATRICES_ESTRUCTURALES","matriz_operativa_o_indice","CHANGED_NON_CONFLICT_OR_NOT_IN_CONFLICT_STATUS","CONSERVAR_MAIN"
"codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001",".agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_RACI_MATRIX_20260605.csv","GRUPO_B_MATRICES_ESTRUCTURALES","matriz_operativa_o_indice","CHANGED_NON_CONFLICT_OR_NOT_IN_CONFLICT_STATUS","CONSERVAR_MAIN"
"codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001",".agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_REVIEW_EVALUATION_DECISION_WORKFLOW_20260605.csv","GRUPO_B_MATRICES_ESTRUCTURALES","matriz_operativa_o_indice","CHANGED_NON_CONFLICT_OR_NOT_IN_CONFLICT_STATUS","CONSERVAR_MAIN"
"codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001",".agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_SDU_SEARCH_SELECTION_PLAN_20260605.csv","GRUPO_B_MATRICES_ESTRUCTURALES","matriz_operativa_o_indice","CHANGED_NON_CONFLICT_OR_NOT_IN_CONFLICT_STATUS","CONSERVAR_MAIN"
"codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001",".agents/codex/matrices/MATRIX_INDEX.csv","GRUPO_B_MATRICES_ESTRUCTURALES","matriz_operativa_o_indice","CONFLICT_IN_PHASE1","CONSERVAR_MAIN"
"codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001",".agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv","GRUPO_D_GUARDRAILS_VALIDACION_HARDENING","matriz_operativa_o_indice","CONFLICT_IN_PHASE1","CONSERVAR_MAIN"
"codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001",".agents/codex/readbacks/2026-06-05_agents_sdk_live_agent_global_operability_readback.md","GRUPO_C_EVIDENCIA_READBACKS","readback_evidencia_historica","CONFLICT_IN_PHASE1","CONSERVAR_MAIN"
"codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001",".gitignore","GRUPO_E_CONFIGURACION_BORDE","archivo_de_borde_ruido_local","CONFLICT_IN_PHASE1","CONSERVAR_MAIN"
"codex/gov/cabina/operating-system-consolidation__ISSUE-RECON-002",".agents/codex/matrices/CABINA_OPERATING_SYSTEM_RECONCILIATION_20260605.csv","GRUPO_B_MATRICES_ESTRUCTURALES","matriz_operativa_o_indice","CONFLICT_IN_PHASE1","CONSERVAR_MAIN"
"codex/gov/cabina/operating-system-consolidation__ISSUE-RECON-002",".agents/codex/matrices/EVIDENCE_AND_VALIDATION_MATRIX.csv","GRUPO_D_GUARDRAILS_VALIDACION_HARDENING","matriz_operativa_o_indice","CONFLICT_IN_PHASE1","CONSERVAR_MAIN"
"codex/gov/cabina/operating-system-consolidation__ISSUE-RECON-002",".agents/codex/matrices/MATRIX_INDEX.csv","GRUPO_B_MATRICES_ESTRUCTURALES","matriz_operativa_o_indice","CONFLICT_IN_PHASE1","CONSERVAR_MAIN"
"codex/gov/cabina/operating-system-consolidation__ISSUE-RECON-002",".agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv","GRUPO_D_GUARDRAILS_VALIDACION_HARDENING","matriz_operativa_o_indice","CONFLICT_IN_PHASE1","CONSERVAR_MAIN"
"codex/gov/cabina/operating-system-consolidation__ISSUE-RECON-002",".agents/codex/readbacks/2026-06-05_cabina_operating_system_consolidation_readback.md","GRUPO_C_EVIDENCIA_READBACKS","readback_evidencia_historica","CONFLICT_IN_PHASE1","CONSERVAR_MAIN"
"codex/gov/cabina/operating-system-consolidation__ISSUE-RECON-002",".gitignore","GRUPO_E_CONFIGURACION_BORDE","archivo_de_borde_ruido_local","CONFLICT_IN_PHASE1","CONSERVAR_MAIN"
"codex/gov/cabina/operating-system-consolidation__ISSUE-RECON-002","02_AUTHORITY_CANON/CURRENT_STATE.md","GRUPO_A_CANON_DOCTRINA","canon_rector_o_politica","CONFLICT_IN_PHASE1","CONSERVAR_MAIN"
"codex/gov/cabina/operating-system-consolidation__ISSUE-RECON-002","AGENTS.md","GRUPO_A_CANON_DOCTRINA","canon_rector_o_politica","CONFLICT_IN_PHASE1","CONSERVAR_MAIN"
"codex/gov/cabina/operating-system-consolidation__ISSUE-RECON-002","MANIFEST.yaml","GRUPO_A_CANON_DOCTRINA","canon_rector_o_politica","CONFLICT_IN_PHASE1","CONSERVAR_MAIN"
"codex/gov/cabina/operating-system-consolidation__ISSUE-RECON-002","README.md","GRUPO_A_CANON_DOCTRINA","artefacto_tecnico_auxiliar","CHANGED_NON_CONFLICT_OR_NOT_IN_CONFLICT_STATUS","CONSERVAR_MAIN"
"codex/gov/cabina/operating-system-consolidation__ISSUE-RECON-002","governance/canon/CABINA_OPERATING_SYSTEM_CONSTITUTION.md","GRUPO_A_CANON_DOCTRINA","canon_rector_o_politica","CONFLICT_IN_PHASE1","SEPARAR_EN_WORKPAPER"
"codex/feature/cabina/full-automation-planes__ISSUE-RECON-003",".agents/codex/matrices/CABINA_FULL_AUTOMATION_PLANE_MATRIX_20260605.csv","GRUPO_B_MATRICES_ESTRUCTURALES","matriz_operativa_o_indice","CHANGED_NON_CONFLICT_OR_NOT_IN_CONFLICT_STATUS","CONSERVAR_MAIN"
"codex/feature/cabina/full-automation-planes__ISSUE-RECON-003",".agents/codex/matrices/CHANGE_AWARE_TEST_MANIFEST.csv","GRUPO_B_MATRICES_ESTRUCTURALES","matriz_operativa_o_indice","CONFLICT_IN_PHASE1","CONSERVAR_MAIN"
"codex/feature/cabina/full-automation-planes__ISSUE-RECON-003",".agents/codex/matrices/EVIDENCE_AND_VALIDATION_MATRIX.csv","GRUPO_D_GUARDRAILS_VALIDACION_HARDENING","matriz_operativa_o_indice","CHANGED_NON_CONFLICT_OR_NOT_IN_CONFLICT_STATUS","CONSERVAR_MAIN"
"codex/feature/cabina/full-automation-planes__ISSUE-RECON-003",".agents/codex/matrices/MATRIX_INDEX.csv","GRUPO_B_MATRICES_ESTRUCTURALES","matriz_operativa_o_indice","CONFLICT_IN_PHASE1","CONSERVAR_MAIN"
"codex/feature/cabina/full-automation-planes__ISSUE-RECON-003",".agents/codex/matrices/TOOL_GOVERNANCE_MATRIX.csv","GRUPO_B_MATRICES_ESTRUCTURALES","matriz_operativa_o_indice","CONFLICT_IN_PHASE1","CONSERVAR_MAIN"
"codex/feature/cabina/full-automation-planes__ISSUE-RECON-003",".agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv","GRUPO_D_GUARDRAILS_VALIDACION_HARDENING","matriz_operativa_o_indice","CONFLICT_IN_PHASE1","CONSERVAR_MAIN"
"codex/feature/cabina/full-automation-planes__ISSUE-RECON-003",".agents/codex/readbacks/2026-06-05_cabina_full_automation_by_planes_readback.md","GRUPO_C_EVIDENCIA_READBACKS","readback_evidencia_historica","CHANGED_NON_CONFLICT_OR_NOT_IN_CONFLICT_STATUS","CONSERVAR_MAIN"
