"branch_canonica","matriz","skill_id","normalization"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/matrices/LOCAL_SKILL_CATALOG.csv","rey-modo-evidencia-riesgo-handoff","source_to_d_drive_repo_local_for_validator_contract"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/matrices/LOCAL_SKILL_CATALOG.csv","rey-modo-gobernador-capacidades","source_to_d_drive_repo_local_for_validator_contract"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/matrices/LOCAL_SKILL_CATALOG.csv","tcu-desarrollo-con-subagentes","source_to_d_drive_repo_local_for_validator_contract"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/matrices/LOCAL_SKILL_CATALOG.csv","tcu-redactor-planes-operativos","source_to_d_drive_repo_local_for_validator_contract"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/matrices/LOCAL_SKILL_CATALOG.csv","sdu-ejecutor-gates","source_to_d_drive_repo_local_for_validator_contract"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/matrices/LOCAL_SKILL_CATALOG.csv","tcu-harness-evals-agentes","source_to_d_drive_repo_local_for_validator_contract"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/matrices/LOCAL_SKILL_CATALOG.csv","tcu-normalizador-sistema-modo-on","source_to_d_drive_repo_local_for_validator_contract"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/matrices/LOCAL_SKILL_CATALOG.csv","tcu-planificador-con-archivos","source_to_d_drive_repo_local_for_validator_contract"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/matrices/LOCAL_SKILL_CATALOG.csv","skill-judge","source_to_d_drive_repo_local_for_validator_contract"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/matrices/LOCAL_SKILL_CATALOG.csv","cabina-github-plugin-adapter","source_to_d_drive_repo_local_for_validator_contract"
